TM_KEY_MTH,TM_KEY_WK,CENTER,METRIC_GRP,COMP_CD,PRODUCT_GRP,METRIC_CD,METRIC_NAME,DIMENSION_KPI_FLAG,BG_FLAG,AGG_TYPE,RR_IND,GRY_IND,UOM,PERIOD,ACTUAL_AGG,TARGET_AGG,PPN_TM
202304,2023013,Sales & Revenue,Sales,TRUE,Prepaid,TB1S000103,Prepaid Activation Subs : AEC/Migrants : TMH,N,N,S,1,GYR,subs,M,11745.0,,2023-06-13 08:49:22
202305,2023021,Sales & Revenue,Sales,TRUE,Prepaid,TB1S000103,Prepaid Activation Subs : AEC/Migrants : TMH,N,N,S,1,GYR,subs,M,245196.0,,2023-06-13 08:49:22
202303,2023012,Sales & Revenue,Sales,DTAC,Prepaid,DB1S000101,Prepaid Activation Subs : DTAC,N,N,S,1,GYR,subs,M,1211391.0,1138952.65,2023-06-13 08:49:22
202304,2023014,Sales & Revenue,Sales,DTAC,Prepaid,DB1S000101,Prepaid Activation Subs : DTAC,N,N,S,1,GYR,subs,M,393386.0,417674.4,2023-06-13 08:49:22
202305,2023021,Sales & Revenue,Sales,DTAC,Prepaid,DB1S000101,Prepaid Activation Subs : DTAC,N,N,S,1,GYR,subs,M,1318177.0,1300126.71,2023-06-13 08:49:22
202306,2023023,Sales & Revenue,Sales,DTAC,Prepaid,DB1S000101,Prepaid Activation Subs : DTAC,N,N,S,1,GYR,subs,M,528711.0,534600.0,2023-06-13 08:49:22
202303,2023012,Sales & Revenue,Sales,TRUE,Prepaid,TB1S000101,Prepaid Activation Subs : TMH,N,N,S,1,GYR,subs,M,1156886.0,,2023-06-13 08:49:22
202304,2023014,Sales & Revenue,Sales,TRUE,Prepaid,TB1S000101,Prepaid Activation Subs : TMH,N,N,S,1,GYR,subs,M,417024.0,,2023-06-13 08:49:22
202303,2023012,Sales & Revenue,Sales,ALL,Prepaid,B1S000102,Prepaid Activation Subs : Thai Mass,N,N,S,1,GYR,subs,M,700473.0,,2023-06-13 08:49:22
202304,2023014,Sales & Revenue,Sales,ALL,Prepaid,B1S000102,Prepaid Activation Subs : Thai Mass,N,N,S,1,GYR,subs,M,258368.0,,2023-06-13 08:49:22
202306,2023023,Sales & Revenue,Sales,ALL,Prepaid,B1S000102,Prepaid Activation Subs : Thai Mass,N,N,S,1,GYR,subs,M,332796.0,,2023-06-13 08:49:22
202303,2023010,Sales & Revenue,Sales,DTAC,Prepaid,DB1S000102,Prepaid Activation Subs : Thai Mass : DTAC,N,N,S,1,GYR,subs,M,0.0,,2023-06-13 08:49:22
202303,2023011,Sales & Revenue,Sales,DTAC,Prepaid,DB1S000102,Prepaid Activation Subs : Thai Mass : DTAC,N,N,S,1,GYR,subs,M,0.0,,2023-06-13 08:49:22
202304,2023015,Sales & Revenue,Sales,DTAC,Prepaid,DB1S000102,Prepaid Activation Subs : Thai Mass : DTAC,N,N,S,1,GYR,subs,M,0.0,,2023-06-13 08:49:22
202304,2023017,Sales & Revenue,Sales,DTAC,Prepaid,DB1S000102,Prepaid Activation Subs : Thai Mass : DTAC,N,N,S,1,GYR,subs,M,0.0,,2023-06-13 08:49:22
202305,2023020,Sales & Revenue,Sales,DTAC,Prepaid,DB1S000102,Prepaid Activation Subs : Thai Mass : DTAC,N,N,S,1,GYR,subs,M,0.0,,2023-06-13 08:49:22
202303,2023011,Sales & Revenue,Sales,ALL,Prepaid,B1S000104,Prepaid Activation Subs : Tourists (IN + OUT),N,N,S,1,GYR,subs,M,199839.0,,2023-06-13 08:49:22
202305,2023019,Sales & Revenue,Sales,ALL,Prepaid,B1S000104,Prepaid Activation Subs : Tourists (IN + OUT),N,N,S,1,GYR,subs,M,130933.0,,2023-06-13 08:49:22
202304,2023016,Sales & Revenue,Sales,DTAC,Prepaid,DB1S000104,Prepaid Activation Subs : Tourists (IN + OUT) : DTAC,N,N,S,1,GYR,subs,M,0.0,,2023-06-13 08:49:22
202303,2023012,Sales & Revenue,Sales,TRUE,Prepaid,TB1S000104,Prepaid Activation Subs : Tourists (IN + OUT) : TMH,N,N,S,1,GYR,subs,M,268250.0,,2023-06-13 08:49:22
202304,2023013,Sales & Revenue,Sales,TRUE,Prepaid,TB1S000104,Prepaid Activation Subs : Tourists (IN + OUT) : TMH,N,N,S,1,GYR,subs,M,21867.0,,2023-06-13 08:49:22
202304,2023016,Sales & Revenue,Sales,TRUE,Prepaid,TB1S000104,Prepaid Activation Subs : Tourists (IN + OUT) : TMH,N,N,S,1,GYR,subs,M,246031.0,,2023-06-13 08:49:22
202304,2023015,Sales & Revenue,Revenue,ALL,Prepaid,B1R000600,Prepaid CRR Rev-Net Topping Deferment,N,N,S,1,GYR,baht,M,0.0,,2023-06-13 08:49:22
202304,2023016,Sales & Revenue,Revenue,TRUE,Prepaid,TB1R000600,Prepaid CRR Rev-Net Topping Deferment : TMH,N,N,S,1,GYR,baht,M,0.0,,2023-06-13 08:49:22
202303,2023010,Sales & Revenue,Sales,ALL,Prepaid,B1S000105,Prepaid CS90,N,N,S,1,GYR,subs,M,356145.0,,2023-06-13 08:49:22
202306,2023022,Sales & Revenue,Sales,ALL,Prepaid,B1S000105,Prepaid CS90,N,N,S,1,GYR,subs,M,139344.0,,2023-06-13 08:49:22
202303,2023011,Sales & Revenue,Sales,DTAC,Prepaid,DB1S000105,Prepaid CS90 : DTAC,N,N,S,1,GYR,subs,M,0.0,,2023-06-13 08:49:22
202305,2023020,Sales & Revenue,Sales,DTAC,Prepaid,DB1S000105,Prepaid CS90 : DTAC,N,N,S,1,GYR,subs,M,0.0,,2023-06-13 08:49:22
202306,2023023,Sales & Revenue,Sales,DTAC,Prepaid,DB1S000105,Prepaid CS90 : DTAC,N,N,S,1,GYR,subs,M,0.0,,2023-06-13 08:49:22
202305,2023018,Customer Service Experience & Retention,Retention & Churn,TRUE,Prepaid,TB1S000300,Prepaid Churn Rate : TMH,N,N,N,0,RYG,%,M,,,2023-06-13 08:49:22
202305,2023021,Customer Service Experience & Retention,Retention & Churn,TRUE,Prepaid,TB1S000300,Prepaid Churn Rate : TMH,N,N,N,0,RYG,%,M,,,2023-06-13 08:49:22
202304,2023013,Customer Service Experience & Retention,Retention & Churn,ALL,Prepaid,B1S000200,Prepaid Churn Subs,N,N,S,1,RYG,subs,M,163886.0,,2023-06-13 08:49:22
202304,2023014,Customer Service Experience & Retention,Retention & Churn,ALL,Prepaid,B1S000200,Prepaid Churn Subs,N,N,S,1,RYG,subs,M,772652.0,,2023-06-13 08:49:22
202303,2023009,Customer Service Experience & Retention,Experience,DTAC,Prepaid,DSER22101,Prepaid Complaint : DTAC,Y,N,N,0,RYG,%,M,,,2023-06-13 08:49:22
