Areas & Category,TMH-MB MKS,AIS-MB MKS,DTAC-MB MKS,TOT-MB MKS,Total Market Size,TMH-MB Total Customer,AIS-MB Total Customer,DTAC-MB Total Customer,TOT-MB Total Customer,System,AREA_META,Category,Metric,Area_type
"Changwat Nakhon Phanom, 5G",40.75,51.48,7.77,0,75000,35000,39000,5800,0,Android,Changwat Nakhon Phanom,5G,Connection,Province
"Changwat Kanchanaburi, 2G",100,0,0,0,190,0,170,100,0,Android,Changwat Kanchanaburi,2G,Connection,Province
"Changwat Kanchanaburi, 3G",6.54,89.36,4.1,0,22000,1700,19000,1000,0,Android,Changwat Kanchanaburi,3G,Connection,Province
"Changwat Kanchanaburi, 4G",13.44,78.37,8.19,0,419000,62000,332000,36000,0,Android,Changwat Kanchanaburi,4G,Connection,Province
"Changwat Kanchanaburi, 5G",23.29,70,6.71,0,176000,45000,128000,12000,0,Android,Changwat Kanchanaburi,5G,Connection,Province
"Changwat Nakhon Pathom, 2G",0,0,0,0,0,0,0,0,0,Android,Changwat Nakhon Pathom,2G,Connection,Province
"Changwat Nakhon Pathom, 3G",16.86,63.16,19.98,0,11000,2200,7000,2200,0,Android,Changwat Nakhon Pathom,3G,Connection,Province
"Changwat Nakhon Pathom, 4G",20.85,55.49,23.65,0,407000,95000,235000,95000,0,Android,Changwat Nakhon Pathom,4G,Connection,Province
"Changwat Nakhon Pathom, 5G",28.9,55.09,16.01,0,271000,83000,157000,44000,0,Android,Changwat Nakhon Pathom,5G,Connection,Province
"Changwat Kamphaeng Phet, 2G",0,0,0,0,250,160,0,0,0,Android,Changwat Kamphaeng Phet,2G,Connection,Province
"Changwat Kamphaeng Phet, 3G",18.78,62.43,18.78,0,8000,1700,5000,1500,0,Android,Changwat Kamphaeng Phet,3G,Connection,Province
"Changwat Kamphaeng Phet, 4G",29.86,47.08,23.06,0,243000,80000,117000,57000,0,Android,Changwat Kamphaeng Phet,4G,Connection,Province
"Changwat Kamphaeng Phet, 5G",44.96,37.45,17.59,0,102000,49000,38000,20000,0,Android,Changwat Kamphaeng Phet,5G,Connection,Province
"Changwat Phetchabun, 2G",100,0,0,0,200,0,0,0,0,Android,Changwat Phetchabun,2G,Connection,Province
"Changwat Phetchabun, 3G",26.42,60,13.58,0,10000,2900,6000,1400,0,Android,Changwat Phetchabun,3G,Connection,Province
"Changwat Phetchabun, 4G",38.37,47.59,14.04,0,304000,126000,147000,45000,0,Android,Changwat Phetchabun,4G,Connection,Province
"Changwat Phetchabun, 5G",52.23,35.8,11.97,0,122000,67000,45000,16000,0,Android,Changwat Phetchabun,5G,Connection,Province
"Changwat Nakhon Nayok, 2G",0,0,0,0,0,0,0,0,0,Android,Changwat Nakhon Nayok,2G,Connection,Province
"Changwat Nakhon Nayok, 3G",23.9,56.97,19.12,0,2800,810,1700,490,0,Android,Changwat Nakhon Nayok,3G,Connection,Province
"Changwat Nakhon Nayok, 4G",29.37,48.99,21.63,0,116000,36000,59000,25000,0,Android,Changwat Nakhon Nayok,4G,Connection,Province
"Changwat Nakhon Nayok, 5G",37.47,46.45,16.09,0,64000,27000,32000,11000,0,Android,Changwat Nakhon Nayok,5G,Connection,Province
"Changwat Satun, 2G",0,0,0,0,0,0,0,0,0,Android,Changwat Satun,2G,Connection,Province
"Changwat Satun, 3G",17.26,50.68,32.05,0,3900,730,2200,1500,0,Android,Changwat Satun,3G,Connection,Province
"Changwat Satun, 4G",20.95,39.77,39.28,0,140000,34000,58000,56000,0,Android,Changwat Satun,4G,Connection,Province
"Changwat Satun, 5G",29.19,41.18,29.63,0,46000,14000,19000,15000,0,Android,Changwat Satun,5G,Connection,Province
"Changwat Suphan Buri, 2G",0,0,0,0,200,0,0,0,0,Android,Changwat Suphan Buri,2G,Connection,Province
"Changwat Suphan Buri, 3G",12.92,76.06,11.01,0,12000,1900,10000,1500,0,Android,Changwat Suphan Buri,3G,Connection,Province
"Changwat Suphan Buri, 4G",17.39,68.11,14.5,0,337000,64000,234000,51000,0,Android,Changwat Suphan Buri,4G,Connection,Province
"Changwat Suphan Buri, 5G",27.37,60.52,12.11,0,154000,46000,94000,21000,0,Android,Changwat Suphan Buri,5G,Connection,Province
"Changwat Nong Khai, 2G",100,0,0,0,240,110,0,0,0,Android,Changwat Nong Khai,2G,Connection,Province
"Changwat Nong Khai, 3G",22.25,67.31,10.44,0,7800,1900,5200,770,0,Android,Changwat Nong Khai,3G,Connection,Province
"Changwat Nong Khai, 4G",29.29,56.36,14.36,0,213000,68000,122000,32000,0,Android,Changwat Nong Khai,4G,Connection,Province
"Changwat Nong Khai, 5G",41.3,44.83,13.87,0,71000,32000,32000,12000,0,Android,Changwat Nong Khai,5G,Connection,Province
"Changwat Trat, 2G",0,0,0,0,0,0,0,0,0,Android,Changwat Trat,2G,Connection,Province
"Changwat Trat, 3G",18.75,68.06,13.19,0,3400,690,2200,530,0,Android,Changwat Trat,3G,Connection,Province
"Changwat Trat, 4G",24.59,59.38,16.03,0,123000,33000,73000,20000,0,Android,Changwat Trat,4G,Connection,Province
"Changwat Trat, 5G",35.71,52.27,12.02,0,54000,20000,29000,7400,0,Android,Changwat Trat,5G,Connection,Province
"Changwat Lamphun, 2G",0,0,0,0,140,0,0,0,0,Android,Changwat Lamphun,2G,Connection,Province
"Changwat Lamphun, 3G",31.12,58.32,10.57,0,6000,1900,3500,710,0,Android,Changwat Lamphun,3G,Connection,Province
"Changwat Lamphun, 4G",40.09,44.6,15.31,0,183000,77000,84000,28000,0,Android,Changwat Lamphun,4G,Connection,Province
"Changwat Lamphun, 5G",48.33,40.02,11.65,0,90000,45000,39000,11000,0,Android,Changwat Lamphun,5G,Connection,Province
"Changwat Lampang, 2G",34.48,65.52,0,0,210,0,0,0,0,Android,Changwat Lampang,2G,Connection,Province
"Changwat Lampang, 3G",19.06,72.99,7.96,0,12000,2500,8600,970,0,Android,Changwat Lampang,3G,Connection,Province
"Changwat Lampang, 4G",25.67,63.66,10.68,0,291000,82000,188000,32000,100,Android,Changwat Lampang,4G,Connection,Province
"Changwat Lampang, 5G",39.48,50.77,9.75,0,116000,49000,61000,12000,0,Android,Changwat Lampang,5G,Connection,Province
"Changwat Chiang Mai, 2G",55,45,0,0,800,350,380,130,0,Android,Changwat Chiang Mai,2G,Connection,Province
"Changwat Chiang Mai, 3G",21.3,64.22,14.47,0,32000,7500,21000,4700,0,Android,Changwat Chiang Mai,3G,Connection,Province
"Changwat Chiang Mai, 4G",28.53,52.98,18.47,0.02,1060000,325000,567000,198000,0,Android,Changwat Chiang Mai,4G,Connection,Province
"Changwat Chiang Mai, 5G",39.35,47.03,13.62,0,578000,240000,284000,81000,0,Android,Changwat Chiang Mai,5G,Connection,Province
"Changwat Sa Kaeo, 2G",0,0,0,0,290,110,0,0,0,Android,Changwat Sa Kaeo,2G,Connection,Province
"Changwat Sa Kaeo, 3G",15.03,76.25,8.72,0,6000,930,4700,480,0,Android,Changwat Sa Kaeo,3G,Connection,Province
"Changwat Sa Kaeo, 4G",23.32,67.79,8.89,0,235000,59000,160000,22000,0,Android,Changwat Sa Kaeo,4G,Connection,Province
"Changwat Sa Kaeo, 5G",33.08,59.44,7.48,0,95000,33000,57000,8300,0,Android,Changwat Sa Kaeo,5G,Connection,Province
"Changwat Loei, 2G",48,52,0,0,210,0,120,0,0,Android,Changwat Loei,2G,Connection,Province
"Changwat Loei, 3G",17.58,80.76,1.67,0,7600,1500,6100,240,0,Android,Changwat Loei,3G,Connection,Province
"Changwat Loei, 4G",24.36,70.03,5.61,0,270000,72000,191000,16000,0,Android,Changwat Loei,4G,Connection,Province
"Changwat Loei, 5G",36.47,58.02,5.51,0,96000,39000,57000,6300,0,Android,Changwat Loei,5G,Connection,Province
"Changwat Samut Prakan, 2G",0,0,0,0,0,0,0,110,0,Android,Changwat Samut Prakan,2G,Connection,Province
"Changwat Samut Prakan, 3G",22.2,59.23,18.57,0,11000,2900,6500,2100,0,Android,Changwat Samut Prakan,3G,Connection,Province
"Changwat Samut Prakan, 4G",30.69,44.76,24.55,0,516000,171000,242000,125000,0,Android,Changwat Samut Prakan,4G,Connection,Province
"Changwat Samut Prakan, 5G",36.14,47.97,15.88,0,447000,173000,223000,70000,0,Android,Changwat Samut Prakan,5G,Connection,Province
"Changwat Lop Buri, 2G",0,0,0,0,110,100,0,110,0,Android,Changwat Lop Buri,2G,Connection,Province
"Changwat Lop Buri, 3G",17.99,75.51,6.5,0,11000,2300,7700,800,0,Android,Changwat Lop Buri,3G,Connection,Province
"Changwat Lop Buri, 4G",23.45,66.6,9.95,0,300000,78000,204000,31000,0,Android,Changwat Lop Buri,4G,Connection,Province
"Changwat Lop Buri, 5G",35.44,54.94,9.63,0,139000,54000,78000,14000,0,Android,Changwat Lop Buri,5G,Connection,Province
"Changwat Nakhon Ratchasima, 2G",100,0,0,0,240,300,0,0,0,Android,Changwat Nakhon Ratchasima,2G,Connection,Province
"Changwat Nakhon Ratchasima, 3G",21.38,69.48,9.13,0,28000,7000,19000,2700,0,Android,Changwat Nakhon Ratchasima,3G,Connection,Province
"Changwat Nakhon Ratchasima, 4G",27.23,62.56,10.21,0,1130000,338000,721000,123000,0,Android,Changwat Nakhon Ratchasima,4G,Connection,Province
"Changwat Nakhon Ratchasima, 5G",37.22,52.99,9.79,0,508000,203000,276000,54000,0,Android,Changwat Nakhon Ratchasima,5G,Connection,Province
"Changwat Samut Sakhon, 2G",0,0,0,0,180,0,0,0,0,Android,Changwat Samut Sakhon,2G,Connection,Province
"Changwat Samut Sakhon, 3G",15.53,54.14,30.33,0,12000,1900,6200,3700,0,Android,Changwat Samut Sakhon,3G,Connection,Province
"Changwat Samut Sakhon, 4G",18.75,38.66,42.59,0,456000,96000,187000,188000,0,Android,Changwat Samut Sakhon,4G,Connection,Province
"Changwat Samut Sakhon, 5G",26.59,47.88,25.53,0,268000,80000,131000,68000,0,Android,Changwat Samut Sakhon,5G,Connection,Province
"Changwat Phichit, 2G",0,0,0,0,160,0,0,160,0,Android,Changwat Phichit,2G,Connection,Province
"Changwat Phichit, 3G",24.54,53.23,22.22,0,6400,1700,3500,1500,0,Android,Changwat Phichit,3G,Connection,Province
"Changwat Phichit, 4G",31.8,42.57,25.63,0,180000,62000,79000,48000,0,Android,Changwat Phichit,4G,Connection,Province
"Changwat Phichit, 5G",43.88,35.21,20.9,0,72000,33000,26000,16000,0,Android,Changwat Phichit,5G,Connection,Province
"Changwat Yasothon, 2G",0,0,0,0,130,0,0,0,0,Android,Changwat Yasothon,2G,Connection,Province
"Changwat Yasothon, 3G",19.97,71.53,8.51,0,6300,1400,4700,650,0,Android,Changwat Yasothon,3G,Connection,Province
"Changwat Yasothon, 4G",30.2,58.03,11.76,0,192000,63000,113000,24000,0,Android,Changwat Yasothon,4G,Connection,Province
"Changwat Yasothon, 5G",43.39,45.48,11.13,0,58000,26000,27000,7000,0,Android,Changwat Yasothon,5G,Connection,Province
"Changwat Phetchaburi, 2G",0,0,0,0,150,0,0,0,0,Android,Changwat Phetchaburi,2G,Connection,Province
"Changwat Phetchaburi, 3G",20.21,72.36,7.43,0,8700,2000,6400,670,0,Android,Changwat Phetchaburi,3G,Connection,Province
"Changwat Phetchaburi, 4G",28.16,56.41,15.36,0.07,235000,73000,137000,37000,0,Android,Changwat Phetchaburi,4G,Connection,Province
"Changwat Phetchaburi, 5G",39.47,46.88,13.65,0,121000,53000,59000,15000,0,Android,Changwat Phetchaburi,5G,Connection,Province
"Changwat Phitsanulok, 2G",0,100,0,0,160,110,100,0,0,Android,Changwat Phitsanulok,2G,Connection,Province
"Changwat Phitsanulok, 3G",21.3,53.11,25.58,0,12000,2800,6200,3100,0,Android,Changwat Phitsanulok,3G,Connection,Province
"Changwat Phitsanulok, 4G",30.73,41.37,27.9,0,368000,125000,156000,105000,0,Android,Changwat Phitsanulok,4G,Connection,Province
"Changwat Phitsanulok, 5G",41.76,36.53,21.71,0,202000,89000,79000,46000,0,Android,Changwat Phitsanulok,5G,Connection,Province
"Changwat Pathum Thani, 2G",100,0,0,0,160,130,0,120,0,Android,Changwat Pathum Thani,2G,Connection,Province
"Changwat Pathum Thani, 3G",25.42,52.92,21.66,0,16000,4500,8300,3400,0,Android,Changwat Pathum Thani,3G,Connection,Province
"Changwat Pathum Thani, 4G",30.01,42.62,27.34,0.02,640000,209000,292000,167000,0,Android,Changwat Pathum Thani,4G,Connection,Province
"Changwat Pathum Thani, 5G",35.6,48.41,15.99,0,561000,217000,282000,90000,0,Android,Changwat Pathum Thani,5G,Connection,Province
"Changwat Sukhothai, 2G",100,0,0,0,150,170,130,110,0,Android,Changwat Sukhothai,2G,Connection,Province
"Changwat Sukhothai, 3G",25.85,57.95,16.2,0,7400,2000,4300,1400,0,Android,Changwat Sukhothai,3G,Connection,Province
"Changwat Sukhothai, 4G",38.04,42.57,19.39,0,230000,92000,101000,46000,0,Android,Changwat Sukhothai,4G,Connection,Province
"Changwat Sukhothai, 5G",49.98,34.4,15.62,0,84000,45000,29000,15000,0,Android,Changwat Sukhothai,5G,Connection,Province
"Changwat Samut Songkhram, 2G",0,0,0,0,210,0,0,0,0,Android,Changwat Samut Songkhram,2G,Connection,Province
"Changwat Samut Songkhram, 3G",16.59,57.14,26.27,0,2400,490,1500,560,0,Android,Changwat Samut Songkhram,3G,Connection,Province
"Changwat Samut Songkhram, 4G",21.47,43.4,35.12,0,82000,19000,37000,29000,0,Android,Changwat Samut Songkhram,4G,Connection,Province
"Changwat Samut Songkhram, 5G",33.56,41.86,24.58,0,47000,16000,20000,13000,0,Android,Changwat Samut Songkhram,5G,Connection,Province
"Bangkok, 2G",52.37,10,37.63,0,5600,2500,690,1700,0,Android,Bangkok,2G,Connection,Province
"Bangkok, 3G",29.88,29.31,40.82,0,238000,75000,73000,93000,0,Android,Bangkok,3G,Connection,Province
"Bangkok, 4G",33.88,21.26,44.85,0.01,8860000,3120000,2190000,3760000,1100,Android,Bangkok,4G,Connection,Province
"Bangkok, 5G",39.95,34.79,25.26,0,5630000,2300000,2270000,1300000,0,Android,Bangkok,5G,Connection,Province
"Changwat Sing Buri, 2G",0,0,0,0,0,0,0,0,0,Android,Changwat Sing Buri,2G,Connection,Province
"Changwat Sing Buri, 3G",20.5,66.25,13.25,0,3400,740,2300,440,0,Android,Changwat Sing Buri,3G,Connection,Province
"Changwat Sing Buri, 4G",23.48,58.57,17.95,0,90000,21000,56000,17000,0,Android,Changwat Sing Buri,4G,Connection,Province
"Changwat Sing Buri, 5G",32.77,52.01,15.22,0,42000,15000,22000,6400,0,Android,Changwat Sing Buri,5G,Connection,Province
"Changwat Si Sa Ket, 2G",52,48,0,0,340,240,0,0,0,Android,Changwat Si Sa Ket,2G,Connection,Province
"Changwat Si Sa Ket, 3G",18.88,68.29,12.83,0,14000,3000,9300,1900,0,Android,Changwat Si Sa Ket,3G,Connection,Province
"Changwat Si Sa Ket, 4G",27.89,55.72,16.39,0,471000,142000,272000,85000,0,Android,Changwat Si Sa Ket,4G,Connection,Province
"Changwat Si Sa Ket, 5G",40.01,45.61,14.38,0,138000,59000,63000,23000,0,Android,Changwat Si Sa Ket,5G,Connection,Province
"Changwat Prachin Buri, 2G",0,0,0,0,0,0,110,0,0,Android,Changwat Prachin Buri,2G,Connection,Province
"Changwat Prachin Buri, 3G",17.88,71.39,10.73,0,7800,1700,5500,750,0,Android,Changwat Prachin Buri,3G,Connection,Province
"Changwat Prachin Buri, 4G",23.18,63.28,13.54,0,290000,72000,190000,39000,0,Android,Changwat Prachin Buri,4G,Connection,Province
"Changwat Prachin Buri, 5G",32.88,57.38,9.74,0,155000,53000,92000,17000,0,Android,Changwat Prachin Buri,5G,Connection,Province
"Changwat Krabi, 2G",0,0,0,0,200,0,0,0,0,Android,Changwat Krabi,2G,Connection,Province
"Changwat Krabi, 3G",13.86,78.52,7.63,0,10000,1600,8200,1100,0,Android,Changwat Krabi,3G,Connection,Province
"Changwat Krabi, 4G",19.54,66.66,13.8,0,263000,58000,177000,39000,0,Android,Changwat Krabi,4G,Connection,Province
"Changwat Krabi, 5G",26.86,62.52,10.62,0,123000,37000,77000,15000,110,Android,Changwat Krabi,5G,Connection,Province
"Changwat Phuket, 2G",0,0,0,0,230,0,0,0,0,Android,Changwat Phuket,2G,Connection,Province
"Changwat Phuket, 3G",13.79,61.37,24.84,0,14000,2300,8500,3200,0,Android,Changwat Phuket,3G,Connection,Province
"Changwat Phuket, 4G",17.47,43.98,38.55,0,445000,89000,201000,166000,0,Android,Changwat Phuket,4G,Connection,Province
"Changwat Phuket, 5G",29.16,43.11,27.72,0,329000,103000,149000,89000,0,Android,Changwat Phuket,5G,Connection,Province
"Changwat Surat Thani, 2G",100,0,0,0,380,110,0,110,0,Android,Changwat Surat Thani,2G,Connection,Province
"Changwat Surat Thani, 3G",9.18,75.21,15.61,0,23000,2700,17000,3500,0,Android,Changwat Surat Thani,3G,Connection,Province
"Changwat Surat Thani, 4G",18.77,57.15,24.08,0,589000,125000,343000,147000,0,Android,Changwat Surat Thani,4G,Connection,Province
"Changwat Surat Thani, 5G",27.46,53.42,19.12,0,302000,90000,167000,60000,0,Android,Changwat Surat Thani,5G,Connection,Province
"Changwat Khon Kaen, 2G",56,44,0,0,390,100,0,0,0,Android,Changwat Khon Kaen,2G,Connection,Province
"Changwat Khon Kaen, 3G",26.64,51.75,21.61,0,19000,5600,10000,4100,0,Android,Changwat Khon Kaen,3G,Connection,Province
"Changwat Khon Kaen, 4G",29.74,47.81,22.44,0,732000,239000,359000,174000,0,Android,Changwat Khon Kaen,4G,Connection,Province
"Changwat Khon Kaen, 5G",37.77,42.46,19.77,0,333000,135000,147000,71000,0,Android,Changwat Khon Kaen,5G,Connection,Province
"Changwat Trang, 2G",0,0,0,0,220,150,0,130,0,Android,Changwat Trang,2G,Connection,Province
"Changwat Trang, 3G",11.28,71.58,17.15,0,9300,1300,6800,1700,0,Android,Changwat Trang,3G,Connection,Province
"Changwat Trang, 4G",20.15,51.29,28.56,0,299000,66000,159000,91000,0,Android,Changwat Trang,4G,Connection,Province
"Changwat Trang, 5G",27.89,49.32,22.79,0,105000,32000,51000,27000,0,Android,Changwat Trang,5G,Connection,Province
"Changwat Prachuap Khiri Khan, 2G",0,0,0,0,0,0,0,0,0,Android,Changwat Prachuap Khiri Khan,2G,Connection,Province
"Changwat Prachuap Khiri Khan, 3G",10.34,82.97,6.68,0,10000,1300,8300,690,0,Android,Changwat Prachuap Khiri Khan,3G,Connection,Province
"Changwat Prachuap Khiri Khan, 4G",18.56,65.71,15.73,0,241000,50000,159000,39000,0,Android,Changwat Prachuap Khiri Khan,4G,Connection,Province
"Changwat Prachuap Khiri Khan, 5G",30.2,57.2,12.6,0,126000,42000,75000,15000,0,Android,Changwat Prachuap Khiri Khan,5G,Connection,Province
"Changwat Amnat Charoen, 2G",0,0,100,0,0,0,0,0,0,Android,Changwat Amnat Charoen,2G,Connection,Province
"Changwat Amnat Charoen, 3G",27.91,62.6,9.49,0,4100,1200,2600,470,0,Android,Changwat Amnat Charoen,3G,Connection,Province
"Changwat Amnat Charoen, 4G",33.42,52.7,13.88,0,126000,47000,67000,19000,0,Android,Changwat Amnat Charoen,4G,Connection,Province
"Changwat Amnat Charoen, 5G",45.63,39.64,14.73,0,36000,17000,15000,5700,0,Android,Changwat Amnat Charoen,5G,Connection,Province
"Changwat Chiang Rai, 2G",72.97,27.03,0,0,450,260,190,200,0,Android,Changwat Chiang Rai,2G,Connection,Province
"Changwat Chiang Rai, 3G",21.76,62.46,15.78,0,17000,4500,10000,2900,0,Android,Changwat Chiang Rai,3G,Connection,Province
"Changwat Chiang Rai, 4G",28.96,47.75,23.25,0.03,521000,162000,253000,125000,0,Android,Changwat Chiang Rai,4G,Connection,Province
"Changwat Chiang Rai, 5G",41.64,42.06,16.3,0,266000,117000,118000,46000,0,Android,Changwat Chiang Rai,5G,Connection,Province
"Changwat Narathiwat, 2G",0,100,0,0,120,0,0,0,0,Android,Changwat Narathiwat,2G,Connection,Province
"Changwat Narathiwat, 3G",14.12,74.64,11.24,0,8000,1400,6100,980,0,Android,Changwat Narathiwat,3G,Connection,Province
"Changwat Narathiwat, 4G",19.21,64.02,16.77,0,272000,54000,180000,49000,0,Android,Changwat Narathiwat,4G,Connection,Province
"Changwat Narathiwat, 5G",23.71,64.71,11.57,0,85000,21000,57000,12000,0,Android,Changwat Narathiwat,5G,Connection,Province
"Changwat Kalasin, 2G",50,50,0,0,180,280,0,0,0,Android,Changwat Kalasin,2G,Connection,Province
"Changwat Kalasin, 3G",28.29,66.56,5.15,0,9900,3000,6900,550,0,Android,Changwat Kalasin,3G,Connection,Province
"Changwat Kalasin, 4G",32.54,59.41,8.05,0,336000,118000,205000,30000,0,Android,Changwat Kalasin,4G,Connection,Province
"Changwat Kalasin, 5G",45.13,46.9,7.97,0,101000,49000,47000,9000,0,Android,Changwat Kalasin,5G,Connection,Province
"Changwat Sakon Nakhon, 2G",50,50,0,0,290,230,0,0,0,Android,Changwat Sakon Nakhon,2G,Connection,Province
"Changwat Sakon Nakhon, 3G",17.24,77.85,4.91,0,14000,2600,11000,570,0,Android,Changwat Sakon Nakhon,3G,Connection,Province
"Changwat Sakon Nakhon, 4G",26.03,68.72,5.24,0,430000,123000,301000,26000,0,Android,Changwat Sakon Nakhon,4G,Connection,Province
"Changwat Sakon Nakhon, 5G",41.43,53.11,5.46,0,125000,56000,66000,8200,0,Android,Changwat Sakon Nakhon,5G,Connection,Province
"Changwat Ubon Ratchathani, 2G",59.52,0,40.48,0,460,280,0,150,0,Android,Changwat Ubon Ratchathani,2G,Connection,Province
"Changwat Ubon Ratchathani, 3G",18,60.27,21.72,0,25000,4900,15000,5400,0,Android,Changwat Ubon Ratchathani,3G,Connection,Province
"Changwat Ubon Ratchathani, 4G",28.2,44.17,27.63,0,799000,243000,362000,233000,0,Android,Changwat Ubon Ratchathani,4G,Connection,Province
"Changwat Ubon Ratchathani, 5G",38.5,37.99,23.52,0,265000,107000,107000,68000,0,Android,Changwat Ubon Ratchathani,5G,Connection,Province
"Changwat Mukdahan, 2G",0,0,0,0,130,170,0,0,0,Android,Changwat Mukdahan,2G,Connection,Province
"Changwat Mukdahan, 3G",22.1,66.74,11.16,0,5100,1200,3300,410,0,Android,Changwat Mukdahan,3G,Connection,Province
"Changwat Mukdahan, 4G",37.59,54.09,8.32,0,160000,63000,88000,14000,0,Android,Changwat Mukdahan,4G,Connection,Province
"Changwat Mukdahan, 5G",49.76,42.57,7.67,0,50000,27000,21000,4300,0,Android,Changwat Mukdahan,5G,Connection,Province
"Changwat Chachoengsao, 2G",0,0,0,0,110,0,0,0,0,Android,Changwat Chachoengsao,2G,Connection,Province
"Changwat Chachoengsao, 3G",18.13,56.6,25.28,0,9200,1900,5400,2300,0,Android,Changwat Chachoengsao,3G,Connection,Province
"Changwat Chachoengsao, 4G",25.7,46.94,27.35,0,385000,107000,188000,106000,0,Android,Changwat Chachoengsao,4G,Connection,Province
"Changwat Chachoengsao, 5G",32.75,48.58,18.67,0,250000,87000,125000,48000,0,Android,Changwat Chachoengsao,5G,Connection,Province
"Changwat Saraburi, 2G",0,0,0,0,0,0,0,0,0,Android,Changwat Saraburi,2G,Connection,Province
"Changwat Saraburi, 3G",18.11,68.74,13.15,0,13000,2600,8500,1700,0,Android,Changwat Saraburi,3G,Connection,Province
"Changwat Saraburi, 4G",25.19,58.55,16.25,0,364000,99000,220000,60000,0,Android,Changwat Saraburi,4G,Connection,Province
"Changwat Saraburi, 5G",33.98,54.4,11.62,0,213000,78000,119000,25000,0,Android,Changwat Saraburi,5G,Connection,Province
"Changwat Chaiyaphum, 2G",50,50,0,0,370,120,0,0,0,Android,Changwat Chaiyaphum,2G,Connection,Province
"Changwat Chaiyaphum, 3G",21.9,69.77,8.33,0,11000,2600,7700,1100,0,Android,Changwat Chaiyaphum,3G,Connection,Province
"Changwat Chaiyaphum, 4G",27.64,62.17,10.19,0,400000,121000,253000,43000,0,Android,Changwat Chaiyaphum,4G,Connection,Province
"Changwat Chaiyaphum, 5G",38.88,52.49,8.64,0,133000,58000,69000,13000,0,Android,Changwat Chaiyaphum,5G,Connection,Province
"Changwat Uttaradit, 2G",0,0,0,0,150,0,0,0,0,Android,Changwat Uttaradit,2G,Connection,Province
"Changwat Uttaradit, 3G",22.11,66.02,11.87,0,6900,1600,4800,900,0,Android,Changwat Uttaradit,3G,Connection,Province
"Changwat Uttaradit, 4G",30.24,57.47,12.28,0,173000,57000,100000,23000,0,Android,Changwat Uttaradit,4G,Connection,Province
"Changwat Uttaradit, 5G",44.38,44.19,11.43,0,67000,31000,32000,8100,0,Android,Changwat Uttaradit,5G,Connection,Province
"Changwat Ang Thong, 2G",0,0,100,0,0,0,0,0,0,Android,Changwat Ang Thong,2G,Connection,Province
"Changwat Ang Thong, 3G",18.86,70.86,10.29,0,3900,770,2700,490,0,Android,Changwat Ang Thong,3G,Connection,Province
"Changwat Ang Thong, 4G",20.34,62.46,17.2,0,111000,25000,71000,20000,0,Android,Changwat Ang Thong,4G,Connection,Province
"Changwat Ang Thong, 5G",31.22,55.09,13.69,0,53000,19000,31000,7700,0,Android,Changwat Ang Thong,5G,Connection,Province
"Changwat Pattani, 2G",0,0,0,0,170,0,110,0,0,Android,Changwat Pattani,2G,Connection,Province
"Changwat Pattani, 3G",11.16,77.42,11.42,0,8400,1200,6600,980,0,Android,Changwat Pattani,3G,Connection,Province
"Changwat Pattani, 4G",15.83,69.51,14.66,0,335000,60000,236000,53000,0,Android,Changwat Pattani,4G,Connection,Province
"Changwat Pattani, 5G",23.63,63.77,12.6,0,107000,25000,71000,14000,0,Android,Changwat Pattani,5G,Connection,Province
"Changwat Phayao, 2G",100,0,0,0,190,0,0,0,0,Android,Changwat Phayao,2G,Connection,Province
"Changwat Phayao, 3G",22.56,66.5,10.94,0,6600,1600,4300,710,0,Android,Changwat Phayao,3G,Connection,Province
"Changwat Phayao, 4G",27.18,60.59,12.24,0,175000,54000,107000,23000,0,Android,Changwat Phayao,4G,Connection,Province
"Changwat Phayao, 5G",39.47,50.22,10.31,0,79000,34000,41000,8800,0,Android,Changwat Phayao,5G,Connection,Province
"Changwat Maha Sarakham, 2G",100,0,0,0,0,0,130,0,0,Android,Changwat Maha Sarakham,2G,Connection,Province
"Changwat Maha Sarakham, 3G",21.7,67.64,10.65,0,12000,2800,8100,1300,0,Android,Changwat Maha Sarakham,3G,Connection,Province
"Changwat Maha Sarakham, 4G",29.39,56.77,13.81,0.04,377000,124000,218000,57000,0,Android,Changwat Maha Sarakham,4G,Connection,Province
"Changwat Maha Sarakham, 5G",42.17,45.12,12.72,0,138000,64000,64000,19000,0,Android,Changwat Maha Sarakham,5G,Connection,Province
"Changwat Udon Thani, 2G",67.74,32.26,0,0,280,230,0,0,0,Android,Changwat Udon Thani,2G,Connection,Province
"Changwat Udon Thani, 3G",22.23,69.06,8.71,0,16000,3800,11000,1300,0,Android,Changwat Udon Thani,3G,Connection,Province
"Changwat Udon Thani, 4G",25.51,64.45,10.04,0,580000,164000,379000,63000,0,Android,Changwat Udon Thani,4G,Connection,Province
"Changwat Udon Thani, 5G",35.15,55.64,9.21,0,242000,95000,134000,26000,0,Android,Changwat Udon Thani,5G,Connection,Province
"Changwat Rayong, 2G",0,0,0,0,130,0,0,0,0,Android,Changwat Rayong,2G,Connection,Province
"Changwat Rayong, 3G",14.5,64.22,21.28,0,15000,2600,9800,3200,0,Android,Changwat Rayong,3G,Connection,Province
"Changwat Rayong, 4G",22.48,52.87,24.65,0,579000,143000,316000,141000,0,Android,Changwat Rayong,4G,Connection,Province
"Changwat Rayong, 5G",28.57,54.11,17.33,0,474000,144000,263000,86000,0,Android,Changwat Rayong,5G,Connection,Province
