Areas & Category,TMH-MB MKS,AIS-MB MKS,DTAC-MB MKS,TOT-MB MKS,Total Market Size,TMH-MB Total Customer,AIS-MB Total Customer,DTAC-MB Total Customer,TOT-MB Total Customer,System,AREA_META,Category,Metric,Area_type
"Changwat Tak, 25-34",29.63,52.63,17.74,0,157000,48000,82000,28000,0,All OS,Changwat Tak,25-34,Age,Province
"Changwat Tak, 35-44",30.46,53.12,16.42,0,77000,24000,42000,13000,0,All OS,Changwat Tak,35-44,Age,Province
"Changwat Tak, 45-54",28.8,56.82,14.38,0,43000,12000,24000,6300,0,All OS,Changwat Tak,45-54,Age,Province
"Changwat Tak, 55-64",25.59,60.52,13.89,0,27000,7200,17000,4000,0,All OS,Changwat Tak,55-64,Age,Province
"Changwat Tak, 65+",24.76,61.18,14.06,0,17000,4400,11000,2600,0,All OS,Changwat Tak,65+,Age,Province
"Changwat Nakhon Si Thammarat, 13-17",27.88,52.45,19.68,0,59000,18000,35000,13000,0,All OS,Changwat Nakhon Si Thammarat,13-17,Age,Province
"Changwat Nakhon Si Thammarat, 18-24",26.39,54.01,19.6,0,174000,51000,102000,37000,0,All OS,Changwat Nakhon Si Thammarat,18-24,Age,Province
"Changwat Nakhon Si Thammarat, 25-34",26.83,55.92,17.25,0,348000,97000,205000,64000,0,All OS,Changwat Nakhon Si Thammarat,25-34,Age,Province
"Changwat Nakhon Si Thammarat, 35-44",25.56,57.13,17.25,0.05,224000,60000,133000,41000,0,All OS,Changwat Nakhon Si Thammarat,35-44,Age,Province
"Changwat Nakhon Si Thammarat, 45-54",22.32,60.28,17.4,0,156000,36000,96000,28000,0,All OS,Changwat Nakhon Si Thammarat,45-54,Age,Province
"Changwat Nakhon Si Thammarat, 55-64",19.82,63.39,16.78,0,105000,22000,68000,18000,0,All OS,Changwat Nakhon Si Thammarat,55-64,Age,Province
"Changwat Nakhon Si Thammarat, 65+",22.73,60.27,17,0,64000,15000,40000,11000,120,All OS,Changwat Nakhon Si Thammarat,65+,Age,Province
"Changwat Phra Nakhon Si Ayutthaya, 13-17",38.46,45.35,16.19,0,30000,13000,15000,5200,0,All OS,Changwat Phra Nakhon Si Ayutthaya,13-17,Age,Province
"Changwat Phra Nakhon Si Ayutthaya, 18-24",33.75,48.2,18.06,0,125000,45000,65000,24000,0,All OS,Changwat Phra Nakhon Si Ayutthaya,18-24,Age,Province
