Areas & Category,TMH-MB MKS,AIS-MB MKS,DTAC-MB MKS,TOT-MB MKS,Total Market Size,TMH-MB Total Customer,AIS-MB Total Customer,DTAC-MB Total Customer,TOT-MB Total Customer,AREA_META,Category,Metric,Area_type
"Changwat Chumphon, 45-54",17.29,68.87,13.84,0,66000,12000,46000,9800,0,Changwat Chumphon,45-54,Age,Province
"Changwat Chumphon, 55-64",16.38,69.58,14.04,0,42000,7100,30000,5900,0,Changwat Chumphon,55-64,Age,Province
"Changwat Chumphon, 65+",16.99,69.05,13.95,0,26000,4400,18000,3800,0,Changwat Chumphon,65+,Age,Province
"Changwat Ratchaburi, 13-17",23.43,55.76,20.81,0,32000,8200,20000,6900,0,Changwat Ratchaburi,13-17,Age,Province
"Changwat Ratchaburi, 18-24",23.35,54.2,22.45,0,109000,28000,62000,25000,0,Changwat Ratchaburi,18-24,Age,Province
"Changwat Ratchaburi, 25-34",23.13,56.87,20,0,233000,56000,139000,49000,0,Changwat Ratchaburi,25-34,Age,Province
"Changwat Ratchaburi, 35-44",22.92,58.93,18.14,0,142000,33000,85000,27000,0,Changwat Ratchaburi,35-44,Age,Province
"Changwat Ratchaburi, 45-54",21.33,61.67,16.99,0,95000,20000,60000,16000,0,Changwat Ratchaburi,45-54,Age,Province
"Changwat Ratchaburi, 55-64",18.1,64.95,16.96,0,61000,12000,41000,11000,0,Changwat Ratchaburi,55-64,Age,Province
"Changwat Ratchaburi, 65+",20.18,62.31,17.52,0,38000,7700,24000,6700,0,Changwat Ratchaburi,65+,Age,Province
"Changwat Chanthaburi, 13-17",23.46,67.47,9.07,0,26000,6600,18000,2400,0,Changwat Chanthaburi,13-17,Age,Province
"Changwat Chanthaburi, 18-24",24.64,63.9,11.45,0,92000,25000,63000,11000,0,Changwat Chanthaburi,18-24,Age,Province
"Changwat Chanthaburi, 25-34",24.96,64.86,10.18,0,195000,51000,131000,20000,0,Changwat Chanthaburi,25-34,Age,Province
"Changwat Chanthaburi, 35-44",24.53,64.94,10.53,0,118000,30000,80000,13000,0,Changwat Chanthaburi,35-44,Age,Province
"Changwat Chanthaburi, 45-54",20.88,68.99,10.13,0,79000,18000,56000,8200,0,Changwat Chanthaburi,45-54,Age,Province
"Changwat Chanthaburi, 55-64",18.24,71.74,10.03,0,52000,9800,38000,5400,0,Changwat Chanthaburi,55-64,Age,Province
"Changwat Chanthaburi, 65+",18.84,70.98,10.18,0,32000,6300,24000,3400,0,Changwat Chanthaburi,65+,Age,Province
"Changwat Roi Et, 13-17",40.51,49.34,10.15,0,41000,18000,22000,4400,0,Changwat Roi Et,13-17,Age,Province
"Changwat Roi Et, 18-24",38.79,51.17,10.03,0,94000,42000,53000,10000,0,Changwat Roi Et,18-24,Age,Province
"Changwat Roi Et, 25-34",35.97,53.96,10.07,0,188000,72000,107000,19000,0,Changwat Roi Et,25-34,Age,Province
"Changwat Roi Et, 35-44",35.15,54.53,10.33,0,120000,43000,67000,13000,0,Changwat Roi Et,35-44,Age,Province
"Changwat Roi Et, 45-54",28.13,61.53,10.34,0,96000,28000,60000,9500,0,Changwat Roi Et,45-54,Age,Province
"Changwat Roi Et, 55-64",25.18,65.13,9.69,0,72000,19000,48000,7100,0,Changwat Roi Et,55-64,Age,Province
"Changwat Roi Et, 65+",28.37,62.97,8.66,0,39000,11000,25000,3400,0,Changwat Roi Et,65+,Age,Province
"Changwat Nan, 13-17",33.75,60,6.25,0,17000,6600,11000,1200,0,Changwat Nan,13-17,Age,Province
"Changwat Nan, 18-24",36.22,55.94,7.84,0,40000,16000,24000,3300,0,Changwat Nan,18-24,Age,Province
"Changwat Nan, 25-34",34.12,57.54,8.33,0,82000,29000,49000,7000,0,Changwat Nan,25-34,Age,Province
"Changwat Nan, 35-44",31.21,60.47,8.32,0,55000,18000,35000,4800,0,Changwat Nan,35-44,Age,Province
"Changwat Nan, 45-54",27.78,62.88,9.34,0,41000,12000,26000,3800,0,Changwat Nan,45-54,Age,Province
"Changwat Nan, 55-64",23.75,67.32,8.92,0,35000,8200,23000,3300,0,Changwat Nan,55-64,Age,Province
"Changwat Nan, 65+",23.66,65.85,10.5,0,19000,4700,13000,2000,0,Changwat Nan,65+,Age,Province
"Changwat Ranong, 13-17",27.05,54.26,18.7,0,11000,3100,6300,2300,0,Changwat Ranong,13-17,Age,Province
"Changwat Ranong, 18-24",24.77,52.69,22.55,0,36000,9600,19000,8700,0,Changwat Ranong,18-24,Age,Province
"Changwat Ranong, 25-34",26,54.49,19.51,0,70000,18000,39000,15000,0,Changwat Ranong,25-34,Age,Province
"Changwat Ranong, 35-44",26.33,56.88,16.78,0,36000,9700,21000,6200,0,Changwat Ranong,35-44,Age,Province
"Changwat Ranong, 45-54",25.76,62.31,11.93,0,22000,5900,14000,2700,0,Changwat Ranong,45-54,Age,Province
"Changwat Ranong, 55-64",20.98,65.82,13.19,0,14000,2900,9400,1900,0,Changwat Ranong,55-64,Age,Province
"Changwat Ranong, 65+",24.28,62.09,13.63,0,9500,2300,5900,1300,0,Changwat Ranong,65+,Age,Province
"Changwat Nakhon Phanom, 13-17",33.73,61.02,5.25,0,30000,10000,19000,1700,0,Changwat Nakhon Phanom,13-17,Age,Province
"Changwat Nakhon Phanom, 18-24",36.31,57.03,6.66,0,67000,26000,42000,4800,0,Changwat Nakhon Phanom,18-24,Age,Province
"Changwat Nakhon Phanom, 25-34",33.14,60.95,5.91,0,122000,42000,78000,7600,0,Changwat Nakhon Phanom,25-34,Age,Province
"Changwat Nakhon Phanom, 35-44",31.51,61.62,6.87,0,72000,23000,46000,5100,0,Changwat Nakhon Phanom,35-44,Age,Province
