Areas & Category,TMH-MB MKS,AIS-MB MKS,DTAC-MB MKS,TOT-MB MKS,Total Market Size,TMH-MB Total Customer,AIS-MB Total Customer,DTAC-MB Total Customer,TOT-MB Total Customer,AREA_META,Category,Metric,Area_type
"Amphoe Rattanawapi, Changwat Nong Khai, $250 - $299",31.75,60.85,7.41,0,1900,600,1200,0,0,"Amphoe Rattanawapi, Changwat Nong Khai",$250 - $299,Device,District
"Amphoe Rattanawapi, Changwat Nong Khai, $300 - $399",30.21,63.4,6.38,0,2300,690,1400,120,0,"Amphoe Rattanawapi, Changwat Nong Khai",$300 - $399,Device,District
"Amphoe Rattanawapi, Changwat Nong Khai, $400 - $599",35.71,52.23,12.05,0,2200,870,1300,190,0,"Amphoe Rattanawapi, Changwat Nong Khai",$400 - $599,Device,District
"Amphoe Rattanawapi, Changwat Nong Khai, $600 - $999",32.43,67.57,0,0,2700,920,1900,160,0,"Amphoe Rattanawapi, Changwat Nong Khai",$600 - $999,Device,District
"Amphoe Benchalak, Changwat Si Sa Ket, Price unknown",40.58,37.68,21.74,0,580,290,360,190,0,"Amphoe Benchalak, Changwat Si Sa Ket",Price unknown,Device,District
"Amphoe Benchalak, Changwat Si Sa Ket, $1,000 or more",36.13,49.03,14.84,0,1500,560,690,250,0,"Amphoe Benchalak, Changwat Si Sa Ket","$1,000 or more",Device,District
"Amphoe Benchalak, Changwat Si Sa Ket, Less than $100",21.57,49.02,29.41,0,1300,310,680,370,0,"Amphoe Benchalak, Changwat Si Sa Ket",Less than $100,Device,District
"Amphoe Benchalak, Changwat Si Sa Ket, $100 - $149",35.87,47.42,16.72,0,3300,1100,1700,620,0,"Amphoe Benchalak, Changwat Si Sa Ket",$100 - $149,Device,District
"Amphoe Benchalak, Changwat Si Sa Ket, $150 - $199",32.64,41.42,25.94,0,2200,750,990,540,0,"Amphoe Benchalak, Changwat Si Sa Ket",$150 - $199,Device,District
"Amphoe Benchalak, Changwat Si Sa Ket, $200 - $249",33.95,48.15,17.9,0,1400,530,810,270,0,"Amphoe Benchalak, Changwat Si Sa Ket",$200 - $249,Device,District
"Amphoe Benchalak, Changwat Si Sa Ket, $250 - $299",35.19,39.81,25,0,1100,370,350,290,0,"Amphoe Benchalak, Changwat Si Sa Ket",$250 - $299,Device,District
"Amphoe Benchalak, Changwat Si Sa Ket, $300 - $399",36.69,45.32,17.99,0,1500,550,700,240,0,"Amphoe Benchalak, Changwat Si Sa Ket",$300 - $399,Device,District
"Amphoe Benchalak, Changwat Si Sa Ket, $400 - $599",34.72,36.81,28.47,0,1300,390,450,460,0,"Amphoe Benchalak, Changwat Si Sa Ket",$400 - $599,Device,District
"Amphoe Benchalak, Changwat Si Sa Ket, $600 - $999",45.5,32,22.5,0,1900,930,600,460,0,"Amphoe Benchalak, Changwat Si Sa Ket",$600 - $999,Device,District
"Amphoe Hot, Changwat Chiang Mai, Price unknown",34.72,65.28,0,0,650,390,420,0,0,"Amphoe Hot, Changwat Chiang Mai",Price unknown,Device,District
"Amphoe Hot, Changwat Chiang Mai, $1,000 or more",27.06,60.29,12.65,0,3300,960,2000,400,0,"Amphoe Hot, Changwat Chiang Mai","$1,000 or more",Device,District
"Amphoe Hot, Changwat Chiang Mai, Less than $100",20,69.29,10.71,0,1300,240,880,150,0,"Amphoe Hot, Changwat Chiang Mai",Less than $100,Device,District
"Amphoe Hot, Changwat Chiang Mai, $100 - $149",23.37,65.39,8.76,2.47,4400,930,3000,420,0,"Amphoe Hot, Changwat Chiang Mai",$100 - $149,Device,District
"Amphoe Hot, Changwat Chiang Mai, $150 - $199",26.89,59.47,13.64,0,2700,690,1700,220,0,"Amphoe Hot, Changwat Chiang Mai",$150 - $199,Device,District
"Amphoe Hot, Changwat Chiang Mai, $200 - $249",23.56,67.54,8.9,0,1900,440,1300,210,0,"Amphoe Hot, Changwat Chiang Mai",$200 - $249,Device,District
"Amphoe Hot, Changwat Chiang Mai, $250 - $299",19.83,71.9,8.26,0,1300,210,920,100,0,"Amphoe Hot, Changwat Chiang Mai",$250 - $299,Device,District
"Amphoe Hot, Changwat Chiang Mai, $300 - $399",23.08,59.73,17.19,0,2200,580,1200,210,0,"Amphoe Hot, Changwat Chiang Mai",$300 - $399,Device,District
"Amphoe Hot, Changwat Chiang Mai, $400 - $599",28.77,57.53,13.7,0,1500,440,870,200,0,"Amphoe Hot, Changwat Chiang Mai",$400 - $599,Device,District
"Amphoe Hot, Changwat Chiang Mai, $600 - $999",26.18,59.6,14.21,0,3600,1100,2300,450,0,"Amphoe Hot, Changwat Chiang Mai",$600 - $999,Device,District
"Amphoe Si Satchanalai, Changwat Sukhothai, Price unknown",48.37,39.84,11.79,0,2400,1200,1000,290,0,"Amphoe Si Satchanalai, Changwat Sukhothai",Price unknown,Device,District
"Amphoe Si Satchanalai, Changwat Sukhothai, $1,000 or more",45.23,43.15,11.62,0,7200,3300,3100,900,0,"Amphoe Si Satchanalai, Changwat Sukhothai","$1,000 or more",Device,District
"Amphoe Si Satchanalai, Changwat Sukhothai, Less than $100",46.36,43.94,9.7,0,3600,1800,1600,280,0,"Amphoe Si Satchanalai, Changwat Sukhothai",Less than $100,Device,District
"Amphoe Si Satchanalai, Changwat Sukhothai, $100 - $149",44.23,47.98,7.8,0,9900,4600,4600,840,0,"Amphoe Si Satchanalai, Changwat Sukhothai",$100 - $149,Device,District
"Amphoe Si Satchanalai, Changwat Sukhothai, $150 - $199",45.26,44.3,10.44,0,8000,3700,3700,1000,0,"Amphoe Si Satchanalai, Changwat Sukhothai",$150 - $199,Device,District
"Amphoe Si Satchanalai, Changwat Sukhothai, $200 - $249",45.11,43.19,11.71,0,5100,2400,2300,560,0,"Amphoe Si Satchanalai, Changwat Sukhothai",$200 - $249,Device,District
"Amphoe Si Satchanalai, Changwat Sukhothai, $250 - $299",42.8,43,12,2.2,5000,2100,2200,700,0,"Amphoe Si Satchanalai, Changwat Sukhothai",$250 - $299,Device,District
"Amphoe Si Satchanalai, Changwat Sukhothai, $300 - $399",43.02,48.01,8.97,0,6000,2600,2900,610,0,"Amphoe Si Satchanalai, Changwat Sukhothai",$300 - $399,Device,District
"Amphoe Si Satchanalai, Changwat Sukhothai, $400 - $599",44.75,45.3,9.94,0,5300,2500,2500,560,0,"Amphoe Si Satchanalai, Changwat Sukhothai",$400 - $599,Device,District
"Amphoe Si Satchanalai, Changwat Sukhothai, $600 - $999",47.6,41.19,11.22,0,6000,2900,2600,690,0,"Amphoe Si Satchanalai, Changwat Sukhothai",$600 - $999,Device,District
"Amphoe Mueang Nakhon Phanom, Changwat Nakhon Phanom, Price unknown",43.43,47.18,9.39,0,4200,1900,2100,340,0,"Amphoe Mueang Nakhon Phanom, Changwat Nakhon Phanom",Price unknown,Device,District
"Amphoe Mueang Nakhon Phanom, Changwat Nakhon Phanom, $1,000 or more",44.18,45.15,10.67,0,19000,9000,9300,2100,0,"Amphoe Mueang Nakhon Phanom, Changwat Nakhon Phanom","$1,000 or more",Device,District
"Amphoe Mueang Nakhon Phanom, Changwat Nakhon Phanom, Less than $100",34.77,59.44,5.79,0,5300,1800,3200,210,0,"Amphoe Mueang Nakhon Phanom, Changwat Nakhon Phanom",Less than $100,Device,District
"Amphoe Mueang Nakhon Phanom, Changwat Nakhon Phanom, $100 - $149",34.4,58.42,7.18,0,17000,5800,9200,1200,0,"Amphoe Mueang Nakhon Phanom, Changwat Nakhon Phanom",$100 - $149,Device,District
"Amphoe Mueang Nakhon Phanom, Changwat Nakhon Phanom, $150 - $199",36.13,56.05,7.82,0,13000,5000,8000,1100,0,"Amphoe Mueang Nakhon Phanom, Changwat Nakhon Phanom",$150 - $199,Device,District
"Amphoe Mueang Nakhon Phanom, Changwat Nakhon Phanom, $200 - $249",35.81,57.17,7.02,0,9300,3400,5400,700,0,"Amphoe Mueang Nakhon Phanom, Changwat Nakhon Phanom",$200 - $249,Device,District
"Amphoe Mueang Nakhon Phanom, Changwat Nakhon Phanom, $250 - $299",33.63,58.22,8.15,0,7700,2700,4600,650,0,"Amphoe Mueang Nakhon Phanom, Changwat Nakhon Phanom",$250 - $299,Device,District
"Amphoe Mueang Nakhon Phanom, Changwat Nakhon Phanom, $300 - $399",35.75,52.6,11.65,0,11000,4000,5900,1200,0,"Amphoe Mueang Nakhon Phanom, Changwat Nakhon Phanom",$300 - $399,Device,District
"Amphoe Mueang Nakhon Phanom, Changwat Nakhon Phanom, $400 - $599",38.73,50.68,10.59,0,12000,5000,6200,1400,0,"Amphoe Mueang Nakhon Phanom, Changwat Nakhon Phanom",$400 - $599,Device,District
"Amphoe Mueang Nakhon Phanom, Changwat Nakhon Phanom, $600 - $999",44.09,45.64,10.27,0,16000,7500,8000,1800,0,"Amphoe Mueang Nakhon Phanom, Changwat Nakhon Phanom",$600 - $999,Device,District
"Amphoe Bang Rakam, Changwat Phitsanulok, Price unknown",38.71,35.08,26.21,0,2400,870,920,700,0,"Amphoe Bang Rakam, Changwat Phitsanulok",Price unknown,Device,District
"Amphoe Bang Rakam, Changwat Phitsanulok, $1,000 or more",39.62,38.08,22.3,0,8000,3400,3200,1900,0,"Amphoe Bang Rakam, Changwat Phitsanulok","$1,000 or more",Device,District
"Amphoe Bang Rakam, Changwat Phitsanulok, Less than $100",28.9,43.63,27.48,0,3500,1000,1500,920,0,"Amphoe Bang Rakam, Changwat Phitsanulok",Less than $100,Device,District
"Amphoe Bang Rakam, Changwat Phitsanulok, $100 - $149",31.97,43.46,24.56,0,12000,3900,5300,3000,0,"Amphoe Bang Rakam, Changwat Phitsanulok",$100 - $149,Device,District
"Amphoe Bang Rakam, Changwat Phitsanulok, $150 - $199",32.19,41.44,26.38,0,10000,3200,4400,2700,0,"Amphoe Bang Rakam, Changwat Phitsanulok",$150 - $199,Device,District
"Amphoe Bang Rakam, Changwat Phitsanulok, $200 - $249",31.85,38.99,29.17,0,6800,2100,2600,2000,0,"Amphoe Bang Rakam, Changwat Phitsanulok",$200 - $249,Device,District
"Amphoe Bang Rakam, Changwat Phitsanulok, $250 - $299",31.41,39.58,29.01,0,6200,1900,2400,1900,0,"Amphoe Bang Rakam, Changwat Phitsanulok",$250 - $299,Device,District
"Amphoe Bang Rakam, Changwat Phitsanulok, $300 - $399",34.25,38.61,27.14,0,7000,2400,2700,2000,0,"Amphoe Bang Rakam, Changwat Phitsanulok",$300 - $399,Device,District
"Amphoe Bang Rakam, Changwat Phitsanulok, $400 - $599",34.41,40.56,25.03,0,6800,2400,2900,1700,0,"Amphoe Bang Rakam, Changwat Phitsanulok",$400 - $599,Device,District
"Amphoe Bang Rakam, Changwat Phitsanulok, $600 - $999",38.96,34.42,26.62,0,7300,3100,2500,2100,0,"Amphoe Bang Rakam, Changwat Phitsanulok",$600 - $999,Device,District
"Amphoe Noen Sa-nga, Changwat Chaiyaphum, Price unknown",0,0,0,0,180,150,0,0,0,"Amphoe Noen Sa-nga, Changwat Chaiyaphum",Price unknown,Device,District
"Amphoe Noen Sa-nga, Changwat Chaiyaphum, $1,000 or more",34.69,65.31,0,0,980,330,630,0,0,"Amphoe Noen Sa-nga, Changwat Chaiyaphum","$1,000 or more",Device,District
"Amphoe Noen Sa-nga, Changwat Chaiyaphum, Less than $100",36.84,63.16,0,0,360,0,300,0,0,"Amphoe Noen Sa-nga, Changwat Chaiyaphum",Less than $100,Device,District
"Amphoe Noen Sa-nga, Changwat Chaiyaphum, $100 - $149",22.61,77.39,0,0,1300,390,860,0,0,"Amphoe Noen Sa-nga, Changwat Chaiyaphum",$100 - $149,Device,District
"Amphoe Noen Sa-nga, Changwat Chaiyaphum, $150 - $199",30.25,69.75,0,0,1000,340,770,100,0,"Amphoe Noen Sa-nga, Changwat Chaiyaphum",$150 - $199,Device,District
"Amphoe Noen Sa-nga, Changwat Chaiyaphum, $200 - $249",31.37,68.63,0,0,570,180,400,0,0,"Amphoe Noen Sa-nga, Changwat Chaiyaphum",$200 - $249,Device,District
"Amphoe Noen Sa-nga, Changwat Chaiyaphum, $250 - $299",20.34,57.63,22.03,0,560,140,440,0,0,"Amphoe Noen Sa-nga, Changwat Chaiyaphum",$250 - $299,Device,District
"Amphoe Noen Sa-nga, Changwat Chaiyaphum, $300 - $399",36.47,63.53,0,0,880,220,640,100,0,"Amphoe Noen Sa-nga, Changwat Chaiyaphum",$300 - $399,Device,District
"Amphoe Noen Sa-nga, Changwat Chaiyaphum, $400 - $599",34.65,65.35,0,0,990,350,680,0,0,"Amphoe Noen Sa-nga, Changwat Chaiyaphum",$400 - $599,Device,District
"Amphoe Noen Sa-nga, Changwat Chaiyaphum, $600 - $999",46.96,43.48,9.57,0,1100,540,500,0,0,"Amphoe Noen Sa-nga, Changwat Chaiyaphum",$600 - $999,Device,District
"Amphoe Cho-airong, Changwat Narathiwat, Price unknown",33.82,44.12,22.06,0,620,150,220,170,0,"Amphoe Cho-airong, Changwat Narathiwat",Price unknown,Device,District
"Amphoe Cho-airong, Changwat Narathiwat, $1,000 or more",23.31,56.08,20.61,0,2800,660,1600,580,0,"Amphoe Cho-airong, Changwat Narathiwat","$1,000 or more",Device,District
"Amphoe Cho-airong, Changwat Narathiwat, Less than $100",25.93,48.89,25.19,0,1200,270,700,270,0,"Amphoe Cho-airong, Changwat Narathiwat",Less than $100,Device,District
"Amphoe Cho-airong, Changwat Narathiwat, $100 - $149",22.07,56.57,21.36,0,4200,920,2300,880,0,"Amphoe Cho-airong, Changwat Narathiwat",$100 - $149,Device,District
"Amphoe Cho-airong, Changwat Narathiwat, $150 - $199",20.49,57.95,21.55,0,2900,700,1800,590,0,"Amphoe Cho-airong, Changwat Narathiwat",$150 - $199,Device,District
"Amphoe Cho-airong, Changwat Narathiwat, $200 - $249",18.82,58.6,22.58,0,1900,370,1100,430,0,"Amphoe Cho-airong, Changwat Narathiwat",$200 - $249,Device,District
"Amphoe Cho-airong, Changwat Narathiwat, $250 - $299",18.8,63.91,17.29,0,1400,220,870,240,0,"Amphoe Cho-airong, Changwat Narathiwat",$250 - $299,Device,District
"Amphoe Cho-airong, Changwat Narathiwat, $300 - $399",22.36,64.6,13.04,0,1500,290,1100,250,0,"Amphoe Cho-airong, Changwat Narathiwat",$300 - $399,Device,District
"Amphoe Cho-airong, Changwat Narathiwat, $400 - $599",25.49,57.35,17.16,0,2100,530,1200,450,0,"Amphoe Cho-airong, Changwat Narathiwat",$400 - $599,Device,District
"Amphoe Cho-airong, Changwat Narathiwat, $600 - $999",19.61,60,20.39,0,2600,560,1600,590,0,"Amphoe Cho-airong, Changwat Narathiwat",$600 - $999,Device,District
"Amphoe Ban Fang, Changwat Khon Kaen, Price unknown",42.68,40.24,17.07,0,710,280,200,120,0,"Amphoe Ban Fang, Changwat Khon Kaen",Price unknown,Device,District
"Amphoe Ban Fang, Changwat Khon Kaen, $1,000 or more",41.88,32.91,25.21,0,2200,890,790,590,0,"Amphoe Ban Fang, Changwat Khon Kaen","$1,000 or more",Device,District
"Amphoe Ban Fang, Changwat Khon Kaen, Less than $100",34.26,35.19,30.56,0,940,340,290,300,0,"Amphoe Ban Fang, Changwat Khon Kaen",Less than $100,Device,District
"Amphoe Ban Fang, Changwat Khon Kaen, $100 - $149",39.32,33.13,27.55,0,3200,1300,1200,930,0,"Amphoe Ban Fang, Changwat Khon Kaen",$100 - $149,Device,District
"Amphoe Ban Fang, Changwat Khon Kaen, $150 - $199",31.66,43.63,24.71,0,2500,890,1100,510,0,"Amphoe Ban Fang, Changwat Khon Kaen",$150 - $199,Device,District
"Amphoe Ban Fang, Changwat Khon Kaen, $200 - $249",30.11,44.89,25,0,1800,650,670,510,0,"Amphoe Ban Fang, Changwat Khon Kaen",$200 - $249,Device,District
"Amphoe Ban Fang, Changwat Khon Kaen, $250 - $299",39.84,41.41,18.75,0,1200,450,490,270,0,"Amphoe Ban Fang, Changwat Khon Kaen",$250 - $299,Device,District
"Amphoe Ban Fang, Changwat Khon Kaen, $300 - $399",37.08,37.64,25.28,0,1800,710,740,520,0,"Amphoe Ban Fang, Changwat Khon Kaen",$300 - $399,Device,District
"Amphoe Ban Fang, Changwat Khon Kaen, $400 - $599",33.14,36.63,30.23,0,1800,580,730,560,0,"Amphoe Ban Fang, Changwat Khon Kaen",$400 - $599,Device,District
"Amphoe Ban Fang, Changwat Khon Kaen, $600 - $999",34.17,40.2,25.63,0,2000,800,810,510,0,"Amphoe Ban Fang, Changwat Khon Kaen",$600 - $999,Device,District
"Amphoe Ko Yao, Changwat Phang-nga, Price unknown",22,54,24,0,450,0,190,140,0,"Amphoe Ko Yao, Changwat Phang-nga",Price unknown,Device,District
"Amphoe Ko Yao, Changwat Phang-nga, $1,000 or more",31.55,54.17,14.29,0,3200,1100,1800,530,0,"Amphoe Ko Yao, Changwat Phang-nga","$1,000 or more",Device,District
"Amphoe Ko Yao, Changwat Phang-nga, Less than $100",31.3,56.52,12.17,0,990,300,580,210,0,"Amphoe Ko Yao, Changwat Phang-nga",Less than $100,Device,District
"Amphoe Ko Yao, Changwat Phang-nga, $100 - $149",18.53,59.07,22.39,0,2700,490,1600,610,0,"Amphoe Ko Yao, Changwat Phang-nga",$100 - $149,Device,District
"Amphoe Ko Yao, Changwat Phang-nga, $150 - $199",25.85,60.98,13.17,0,2000,570,1400,280,0,"Amphoe Ko Yao, Changwat Phang-nga",$150 - $199,Device,District
"Amphoe Ko Yao, Changwat Phang-nga, $200 - $249",25.36,57.97,16.67,0,1300,290,800,280,0,"Amphoe Ko Yao, Changwat Phang-nga",$200 - $249,Device,District
"Amphoe Ko Yao, Changwat Phang-nga, $250 - $299",26.72,56.03,17.24,0,1200,260,670,310,0,"Amphoe Ko Yao, Changwat Phang-nga",$250 - $299,Device,District
"Amphoe Ko Yao, Changwat Phang-nga, $300 - $399",22.38,54.55,23.08,0,1400,330,920,310,0,"Amphoe Ko Yao, Changwat Phang-nga",$300 - $399,Device,District
"Amphoe Ko Yao, Changwat Phang-nga, $400 - $599",33.57,46.43,20,0,1600,440,730,160,0,"Amphoe Ko Yao, Changwat Phang-nga",$400 - $599,Device,District
"Amphoe Ko Yao, Changwat Phang-nga, $600 - $999",30.77,54.66,14.57,0,2300,840,1300,370,0,"Amphoe Ko Yao, Changwat Phang-nga",$600 - $999,Device,District
"Amphoe Huai Khot, Changwat Uthai Thani, Price unknown",100,0,0,0,230,0,180,0,0,"Amphoe Huai Khot, Changwat Uthai Thani",Price unknown,Device,District
"Amphoe Huai Khot, Changwat Uthai Thani, $1,000 or more",51.61,48.39,0,0,610,290,300,0,0,"Amphoe Huai Khot, Changwat Uthai Thani","$1,000 or more",Device,District
"Amphoe Huai Khot, Changwat Uthai Thani, Less than $100",34.69,65.31,0,0,430,190,260,0,0,"Amphoe Huai Khot, Changwat Uthai Thani",Less than $100,Device,District
"Amphoe Huai Khot, Changwat Uthai Thani, $100 - $149",36.7,63.3,0,0,960,410,670,0,0,"Amphoe Huai Khot, Changwat Uthai Thani",$100 - $149,Device,District
"Amphoe Huai Khot, Changwat Uthai Thani, $150 - $199",24.71,75.29,0,0,780,190,530,0,0,"Amphoe Huai Khot, Changwat Uthai Thani",$150 - $199,Device,District
"Amphoe Huai Khot, Changwat Uthai Thani, $200 - $249",31.88,52.17,15.94,0,560,210,350,100,0,"Amphoe Huai Khot, Changwat Uthai Thani",$200 - $249,Device,District
"Amphoe Huai Khot, Changwat Uthai Thani, $250 - $299",51.28,48.72,0,0,380,120,160,0,0,"Amphoe Huai Khot, Changwat Uthai Thani",$250 - $299,Device,District
"Amphoe Huai Khot, Changwat Uthai Thani, $300 - $399",35,65,0,0,700,180,460,0,0,"Amphoe Huai Khot, Changwat Uthai Thani",$300 - $399,Device,District
"Amphoe Huai Khot, Changwat Uthai Thani, $400 - $599",43.94,56.06,0,0,610,300,430,0,0,"Amphoe Huai Khot, Changwat Uthai Thani",$400 - $599,Device,District
"Amphoe Huai Khot, Changwat Uthai Thani, $600 - $999",42.37,57.63,0,0,550,170,320,0,0,"Amphoe Huai Khot, Changwat Uthai Thani",$600 - $999,Device,District
"Amphoe Maha Chana Chai, Changwat Yasothon, Price unknown",24.78,61.95,13.27,0,1100,290,630,130,0,"Amphoe Maha Chana Chai, Changwat Yasothon",Price unknown,Device,District
"Amphoe Maha Chana Chai, Changwat Yasothon, $1,000 or more",31.82,59.09,9.09,0,3600,1200,2200,250,0,"Amphoe Maha Chana Chai, Changwat Yasothon","$1,000 or more",Device,District
"Amphoe Maha Chana Chai, Changwat Yasothon, Less than $100",20.8,73.2,6,0,2600,530,1800,230,0,"Amphoe Maha Chana Chai, Changwat Yasothon",Less than $100,Device,District
"Amphoe Maha Chana Chai, Changwat Yasothon, $100 - $149",24.23,68.4,7.36,0,6700,1600,4500,570,0,"Amphoe Maha Chana Chai, Changwat Yasothon",$100 - $149,Device,District
"Amphoe Maha Chana Chai, Changwat Yasothon, $150 - $199",24.75,66.34,8.91,0,4800,1200,3300,370,0,"Amphoe Maha Chana Chai, Changwat Yasothon",$150 - $199,Device,District
"Amphoe Maha Chana Chai, Changwat Yasothon, $200 - $249",23.64,70.18,6.18,0,2900,780,2000,230,0,"Amphoe Maha Chana Chai, Changwat Yasothon",$200 - $249,Device,District
"Amphoe Maha Chana Chai, Changwat Yasothon, $250 - $299",23.55,64.09,12.36,0,2700,520,1700,330,0,"Amphoe Maha Chana Chai, Changwat Yasothon",$250 - $299,Device,District
"Amphoe Maha Chana Chai, Changwat Yasothon, $300 - $399",29.81,59.62,10.58,0,2800,850,1900,200,0,"Amphoe Maha Chana Chai, Changwat Yasothon",$300 - $399,Device,District
"Amphoe Maha Chana Chai, Changwat Yasothon, $400 - $599",31.4,57.01,11.59,0,2900,900,1800,350,0,"Amphoe Maha Chana Chai, Changwat Yasothon",$400 - $599,Device,District
"Amphoe Maha Chana Chai, Changwat Yasothon, $600 - $999",30.85,58.4,10.74,0,3700,1200,2200,310,0,"Amphoe Maha Chana Chai, Changwat Yasothon",$600 - $999,Device,District
"Amphoe Watthana Nakhon, Changwat Sa Kaeo, Price unknown",32.3,61.49,6.21,0,3100,900,2000,270,0,"Amphoe Watthana Nakhon, Changwat Sa Kaeo",Price unknown,Device,District
"Amphoe Watthana Nakhon, Changwat Sa Kaeo, $1,000 or more",32.65,56.44,10.91,0,14000,4600,7900,1400,0,"Amphoe Watthana Nakhon, Changwat Sa Kaeo","$1,000 or more",Device,District
"Amphoe Watthana Nakhon, Changwat Sa Kaeo, Less than $100",23.38,67.53,9.09,0,5200,1200,3800,370,0,"Amphoe Watthana Nakhon, Changwat Sa Kaeo",Less than $100,Device,District
"Amphoe Watthana Nakhon, Changwat Sa Kaeo, $100 - $149",23.2,68.82,7.98,0,15000,3500,10000,1200,0,"Amphoe Watthana Nakhon, Changwat Sa Kaeo",$100 - $149,Device,District
"Amphoe Watthana Nakhon, Changwat Sa Kaeo, $150 - $199",24.79,64.08,11.13,0,11000,2600,7100,1200,0,"Amphoe Watthana Nakhon, Changwat Sa Kaeo",$150 - $199,Device,District
"Amphoe Watthana Nakhon, Changwat Sa Kaeo, $200 - $249",26.03,64.18,9.79,0,7400,2000,5000,690,0,"Amphoe Watthana Nakhon, Changwat Sa Kaeo",$200 - $249,Device,District
"Amphoe Watthana Nakhon, Changwat Sa Kaeo, $250 - $299",26.06,62.95,10.99,0,6300,1600,3900,790,0,"Amphoe Watthana Nakhon, Changwat Sa Kaeo",$250 - $299,Device,District
"Amphoe Watthana Nakhon, Changwat Sa Kaeo, $300 - $399",27.91,63.5,8.59,0,8700,2400,5600,790,0,"Amphoe Watthana Nakhon, Changwat Sa Kaeo",$300 - $399,Device,District
"Amphoe Watthana Nakhon, Changwat Sa Kaeo, $400 - $599",28.6,59.27,12.13,0,8700,2500,4900,1000,0,"Amphoe Watthana Nakhon, Changwat Sa Kaeo",$400 - $599,Device,District
"Amphoe Watthana Nakhon, Changwat Sa Kaeo, $600 - $999",34.96,55.6,9.43,0,11000,4000,6100,1100,0,"Amphoe Watthana Nakhon, Changwat Sa Kaeo",$600 - $999,Device,District
"Amphoe Wang Nam Yen, Changwat Sa Kaeo, Price unknown",37.93,62.07,0,0,1200,340,780,140,0,"Amphoe Wang Nam Yen, Changwat Sa Kaeo",Price unknown,Device,District
"Amphoe Wang Nam Yen, Changwat Sa Kaeo, $1,000 or more",34,58.5,7.5,0,5200,1900,3300,300,0,"Amphoe Wang Nam Yen, Changwat Sa Kaeo","$1,000 or more",Device,District
"Amphoe Wang Nam Yen, Changwat Sa Kaeo, Less than $100",19.55,80.45,0,0,1800,430,1500,0,0,"Amphoe Wang Nam Yen, Changwat Sa Kaeo",Less than $100,Device,District
"Amphoe Wang Nam Yen, Changwat Sa Kaeo, $100 - $149",24.24,71.63,4.13,0,5500,1300,4100,240,0,"Amphoe Wang Nam Yen, Changwat Sa Kaeo",$100 - $149,Device,District
"Amphoe Wang Nam Yen, Changwat Sa Kaeo, $150 - $199",21.5,75.36,3.14,0,4100,870,3100,150,0,"Amphoe Wang Nam Yen, Changwat Sa Kaeo",$150 - $199,Device,District
"Amphoe Wang Nam Yen, Changwat Sa Kaeo, $200 - $249",26.92,66.78,6.29,0,2800,890,1800,180,0,"Amphoe Wang Nam Yen, Changwat Sa Kaeo",$200 - $249,Device,District
"Amphoe Wang Nam Yen, Changwat Sa Kaeo, $250 - $299",25.83,66.25,7.92,0,2400,520,1600,250,0,"Amphoe Wang Nam Yen, Changwat Sa Kaeo",$250 - $299,Device,District
"Amphoe Wang Nam Yen, Changwat Sa Kaeo, $300 - $399",26.86,66.67,6.47,0,2900,780,2100,250,0,"Amphoe Wang Nam Yen, Changwat Sa Kaeo",$300 - $399,Device,District
"Amphoe Wang Nam Yen, Changwat Sa Kaeo, $400 - $599",25.57,68.61,5.83,0,3000,790,2100,130,0,"Amphoe Wang Nam Yen, Changwat Sa Kaeo",$400 - $599,Device,District
"Amphoe Wang Nam Yen, Changwat Sa Kaeo, $600 - $999",30.43,63.16,6.41,0,4100,1300,2900,350,0,"Amphoe Wang Nam Yen, Changwat Sa Kaeo",$600 - $999,Device,District
"Amphoe Si Chiang Mai, Changwat Nong Khai, Price unknown",28.72,71.28,0,0,930,240,670,150,0,"Amphoe Si Chiang Mai, Changwat Nong Khai",Price unknown,Device,District
"Amphoe Si Chiang Mai, Changwat Nong Khai, $1,000 or more",39.15,44.79,16.06,0,3400,1400,1600,630,0,"Amphoe Si Chiang Mai, Changwat Nong Khai","$1,000 or more",Device,District
"Amphoe Si Chiang Mai, Changwat Nong Khai, Less than $100",27.95,57.14,14.91,0,1500,590,850,300,0,"Amphoe Si Chiang Mai, Changwat Nong Khai",Less than $100,Device,District
"Amphoe Si Chiang Mai, Changwat Nong Khai, $100 - $149",28.81,55.24,15.95,0,4100,1200,2400,750,0,"Amphoe Si Chiang Mai, Changwat Nong Khai",$100 - $149,Device,District
"Amphoe Si Chiang Mai, Changwat Nong Khai, $150 - $199",24.38,59.18,16.44,0,3700,1000,2100,570,0,"Amphoe Si Chiang Mai, Changwat Nong Khai",$150 - $199,Device,District
"Amphoe Si Chiang Mai, Changwat Nong Khai, $200 - $249",33.05,54.39,12.55,0,2300,780,1200,380,0,"Amphoe Si Chiang Mai, Changwat Nong Khai",$200 - $249,Device,District
"Amphoe Si Chiang Mai, Changwat Nong Khai, $250 - $299",30.36,54.66,14.98,0,2400,800,1500,290,0,"Amphoe Si Chiang Mai, Changwat Nong Khai",$250 - $299,Device,District
"Amphoe Si Chiang Mai, Changwat Nong Khai, $300 - $399",29.02,52.55,18.43,0,2700,820,1300,550,0,"Amphoe Si Chiang Mai, Changwat Nong Khai",$300 - $399,Device,District
