Provinces & Category,TMH-MB MKS,AIS-MB MKS,DTAC-MB MKS,TOT-MB MKS,TMH-MB Market Size,AIS-MB Market Size,DTAC-MB Market Size,TOT-MB Market Size,TMH-MB Total Customer,AIS-MB Total Customer,DTAC-MB Total Customer,TOT-MB Total Customer,Source,Provinces,Category,Metric
"Changwat Phuket, $250 - $299",19.91,43.98,36.11,--,"67,000","67,000","67,000","67,000","14,000","30,000","25,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Phuket,$250 - $299,Device
"Changwat Phuket, $300 - $399",22.3,41.88,35.82,--,"83,000","83,000","83,000","83,000","19,000","36,000","30,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Phuket,$300 - $399,Device
"Changwat Phuket, $400 - $599",25.69,41.34,32.97,--,"109,000","109,000","109,000","109,000","29,000","47,000","35,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Phuket,$400 - $599,Device
"Changwat Phuket, $600 - $999",29.38,42.83,27.8,--,"131,000","131,000","131,000","131,000","40,000","59,000","37,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Phuket,$600 - $999,Device
"Changwat Surat Thani, Price unknown",25.97,52.67,21.37,--,"41,000","41,000","41,000","41,000","11,000","22,000","9,300",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Surat Thani,Price unknown,Device
"Changwat Surat Thani, $1,000 or more",27.4,52.39,20.21,--,"229,000","229,000","229,000","229,000","65,000","123,000","48,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Surat Thani,"$1,000 or more",Device
"Changwat Surat Thani, Less than $100",17.84,62.57,19.6,--,"49,000","49,000","49,000","49,000","9,400","31,000","10,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Surat Thani,Less than $100,Device
"Changwat Surat Thani, $100 - $149",18.63,60.45,20.92,--,"149,000","149,000","149,000","149,000","28,000","92,000","31,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Surat Thani,$100 - $149,Device
"Changwat Surat Thani, $150 - $199",19.37,57.88,22.75,--,"139,000","139,000","139,000","139,000","27,000","83,000","33,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Surat Thani,$150 - $199,Device
"Changwat Surat Thani, $200 - $249",20.57,55.42,24.0,--,"88,000","88,000","88,000","88,000","19,000","50,000","23,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Surat Thani,$200 - $249,Device
"Changwat Surat Thani, $250 - $299",18.9,58.1,23.0,--,"87,000","87,000","87,000","87,000","16,000","52,000","21,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Surat Thani,$250 - $299,Device
"Changwat Surat Thani, $300 - $399",23.99,52.13,23.87,--,"101,000","101,000","101,000","101,000","24,000","54,000","25,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Surat Thani,$300 - $399,Device
"Changwat Surat Thani, $400 - $599",24.51,54.32,21.17,--,"126,000","126,000","126,000","126,000","31,000","72,000","28,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Surat Thani,$400 - $599,Device
"Changwat Surat Thani, $600 - $999",27.43,50.9,21.67,--,"155,000","155,000","155,000","155,000","45,000","83,000","35,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Surat Thani,$600 - $999,Device
"Changwat Khon Kaen, Price unknown",36.84,41.36,21.79,--,"45,000","45,000","45,000","45,000","18,000","20,000","9,900",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Khon Kaen,Price unknown,Device
"Changwat Khon Kaen, $1,000 or more",37.05,42.14,20.81,--,"253,000","253,000","253,000","253,000","96,000","111,000","53,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Khon Kaen,"$1,000 or more",Device
"Changwat Khon Kaen, Less than $100",29.67,51.4,18.92,--,"65,000","65,000","65,000","65,000","20,000","34,000","13,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Khon Kaen,Less than $100,Device
"Changwat Khon Kaen, $100 - $149",30.71,49.37,19.91,--,"201,000","201,000","201,000","201,000","63,000","102,000","42,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Khon Kaen,$100 - $149,Device
"Changwat Khon Kaen, $150 - $199",31.49,47.52,20.99,--,"161,000","161,000","161,000","161,000","52,000","78,000","36,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Khon Kaen,$150 - $199,Device
"Changwat Khon Kaen, $200 - $249",32.46,44.81,22.73,--,"113,000","113,000","113,000","113,000","38,000","53,000","26,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Khon Kaen,$200 - $249,Device
"Changwat Khon Kaen, $250 - $299",30.86,46.85,22.29,--,"95,000","95,000","95,000","95,000","29,000","46,000","22,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Khon Kaen,$250 - $299,Device
"Changwat Khon Kaen, $300 - $399",32.48,44.17,23.36,--,"132,000","132,000","132,000","132,000","44,000","60,000","32,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Khon Kaen,$300 - $399,Device
"Changwat Khon Kaen, $400 - $599",35.63,42.19,22.18,--,"153,000","153,000","153,000","153,000","57,000","68,000","35,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Khon Kaen,$400 - $599,Device
"Changwat Khon Kaen, $600 - $999",37.27,41.16,21.58,--,"195,000","195,000","195,000","195,000","76,000","85,000","44,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Khon Kaen,$600 - $999,Device
"Changwat Trang, Price unknown",24.13,47.91,27.96,--,"19,000","19,000","19,000","19,000","4,900","9,500","5,800",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Trang,Price unknown,Device
"Changwat Trang, $1,000 or more",27.76,45.03,27.21,--,"69,000","69,000","69,000","69,000","20,000","32,000","19,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Trang,"$1,000 or more",Device
"Changwat Trang, Less than $100",19.28,54.98,25.74,--,"26,000","26,000","26,000","26,000","5,300","14,000","6,800",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Trang,Less than $100,Device
"Changwat Trang, $100 - $149",20.08,53.73,26.19,--,"83,000","83,000","83,000","83,000","17,000","46,000","23,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Trang,$100 - $149,Device
"Changwat Trang, $150 - $199",21.2,51.27,27.53,--,"73,000","73,000","73,000","73,000","16,000","39,000","21,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Trang,$150 - $199,Device
"Changwat Trang, $200 - $249",23.29,48.32,28.39,--,"44,000","44,000","44,000","44,000","10,000","23,000","13,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Trang,$200 - $249,Device
"Changwat Trang, $250 - $299",20.45,52.06,27.49,--,"44,000","44,000","44,000","44,000","9,000","22,000","12,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Trang,$250 - $299,Device
"Changwat Trang, $300 - $399",22.51,48.81,28.67,--,"47,000","47,000","47,000","47,000","11,000","25,000","14,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Trang,$300 - $399,Device
"Changwat Trang, $400 - $599",23.92,48.65,27.42,--,"65,000","65,000","65,000","65,000","16,000","34,000","19,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Trang,$400 - $599,Device
"Changwat Trang, $600 - $999",26.32,45.86,27.82,--,"64,000","64,000","64,000","64,000","18,000","31,000","19,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Trang,$600 - $999,Device
"Changwat Prachuap Khiri Khan, Price unknown",30.34,55.33,14.33,--,"16,000","16,000","16,000","16,000","4,900","9,600","2,400",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Prachuap Khiri Khan,Price unknown,Device
"Changwat Prachuap Khiri Khan, $1,000 or more",29.79,57.55,12.66,--,"94,000","94,000","94,000","94,000","29,000","55,000","13,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Prachuap Khiri Khan,"$1,000 or more",Device
"Changwat Prachuap Khiri Khan, Less than $100",17.15,67.95,14.91,--,"20,000","20,000","20,000","20,000","3,400","14,000","3,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Prachuap Khiri Khan,Less than $100,Device
"Changwat Prachuap Khiri Khan, $100 - $149",17.35,69.81,12.83,--,"62,000","62,000","62,000","62,000","11,000","44,000","8,400",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Prachuap Khiri Khan,$100 - $149,Device
"Changwat Prachuap Khiri Khan, $150 - $199",19.53,65.58,14.89,--,"55,000","55,000","55,000","55,000","11,000","36,000","8,500",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Prachuap Khiri Khan,$150 - $199,Device
"Changwat Prachuap Khiri Khan, $200 - $249",21.34,63.55,15.11,--,"37,000","37,000","37,000","37,000","7,700","24,000","5,900",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Prachuap Khiri Khan,$200 - $249,Device
"Changwat Prachuap Khiri Khan, $250 - $299",20.16,65.86,13.99,--,"34,000","34,000","34,000","34,000","6,800","22,000","5,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Prachuap Khiri Khan,$250 - $299,Device
"Changwat Prachuap Khiri Khan, $300 - $399",23.55,62.35,14.1,--,"44,000","44,000","44,000","44,000","11,000","28,000","6,600",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Prachuap Khiri Khan,$300 - $399,Device
"Changwat Prachuap Khiri Khan, $400 - $599",26.59,58.43,14.99,--,"49,000","49,000","49,000","49,000","14,000","30,000","7,600",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Prachuap Khiri Khan,$400 - $599,Device
"Changwat Prachuap Khiri Khan, $600 - $999",27.8,57.58,14.62,--,"66,000","66,000","66,000","66,000","19,000","39,000","9,800",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Prachuap Khiri Khan,$600 - $999,Device
"Changwat Amnat Charoen, Price unknown",38.04,47.26,14.7,--,"6,900","6,900","6,900","6,900","2,600","3,300","1,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Amnat Charoen,Price unknown,Device
"Changwat Amnat Charoen, $1,000 or more",42.15,42.54,15.31,--,"24,000","24,000","24,000","24,000","11,000","11,000","3,800",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Amnat Charoen,"$1,000 or more",Device
"Changwat Amnat Charoen, Less than $100",32.68,53.58,13.74,--,"15,000","15,000","15,000","15,000","4,800","8,800","2,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Amnat Charoen,Less than $100,Device
"Changwat Amnat Charoen, $100 - $149",33.59,53.7,12.7,--,"38,000","38,000","38,000","38,000","13,000","21,000","4,900",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Amnat Charoen,$100 - $149,Device
"Changwat Amnat Charoen, $150 - $199",37.24,49.61,13.14,--,"30,000","30,000","30,000","30,000","11,000","16,000","4,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Amnat Charoen,$150 - $199,Device
"Changwat Amnat Charoen, $200 - $249",37.57,47.89,14.54,--,"21,000","21,000","21,000","21,000","8,200","10,000","3,100",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Amnat Charoen,$200 - $249,Device
"Changwat Amnat Charoen, $250 - $299",33.61,53.67,12.72,--,"15,000","15,000","15,000","15,000","5,400","8,000","2,100",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Amnat Charoen,$250 - $299,Device
"Changwat Amnat Charoen, $300 - $399",35.86,49.0,15.13,--,"21,000","21,000","21,000","21,000","7,400","11,000","3,100",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Amnat Charoen,$300 - $399,Device
"Changwat Amnat Charoen, $400 - $599",37.2,46.57,16.22,--,"20,000","20,000","20,000","20,000","7,900","9,400","3,400",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Amnat Charoen,$400 - $599,Device
"Changwat Amnat Charoen, $600 - $999",43.3,42.85,13.85,--,"25,000","25,000","25,000","25,000","12,000","11,000","3,800",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Amnat Charoen,$600 - $999,Device
"Changwat Chiang Rai, Price unknown",37.74,41.54,20.71,--,"34,000","34,000","34,000","34,000","13,000","14,000","7,200",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Chiang Rai,Price unknown,Device
"Changwat Chiang Rai, $1,000 or more",38.2,44.0,17.8,--,"202,000","202,000","202,000","202,000","81,000","91,000","38,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Chiang Rai,"$1,000 or more",Device
"Changwat Chiang Rai, Less than $100",28.86,51.74,19.4,--,"41,000","41,000","41,000","41,000","12,000","22,000","8,100",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Chiang Rai,Less than $100,Device
"Changwat Chiang Rai, $100 - $149",29.06,50.89,20.05,--,"142,000","142,000","142,000","142,000","42,000","73,000","29,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Chiang Rai,$100 - $149,Device
"Changwat Chiang Rai, $150 - $199",30.55,47.51,21.95,--,"116,000","116,000","116,000","116,000","35,000","57,000","26,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Chiang Rai,$150 - $199,Device
"Changwat Chiang Rai, $200 - $249",32.2,44.55,23.24,--,"82,000","82,000","82,000","82,000","27,000","37,000","19,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Chiang Rai,$200 - $249,Device
"Changwat Chiang Rai, $250 - $299",32.1,45.35,22.55,--,"76,000","76,000","76,000","76,000","25,000","35,000","17,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Chiang Rai,$250 - $299,Device
"Changwat Chiang Rai, $300 - $399",33.81,44.75,21.44,--,"103,000","103,000","103,000","103,000","35,000","47,000","22,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Chiang Rai,$300 - $399,Device
"Changwat Chiang Rai, $400 - $599",37.21,42.74,20.05,--,"104,000","104,000","104,000","104,000","40,000","45,000","22,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Chiang Rai,$400 - $599,Device
"Changwat Chiang Rai, $600 - $999",38.05,41.64,20.31,--,"132,000","132,000","132,000","132,000","53,000","57,000","28,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Chiang Rai,$600 - $999,Device
"Changwat Narathiwat, Price unknown",22.44,60.43,17.13,--,"16,000","16,000","16,000","16,000","3,800","10,000","3,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Narathiwat,Price unknown,Device
"Changwat Narathiwat, $1,000 or more",22.04,60.35,17.61,--,"71,000","71,000","71,000","71,000","16,000","44,000","13,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Narathiwat,"$1,000 or more",Device
"Changwat Narathiwat, Less than $100",18.54,66.79,14.67,--,"28,000","28,000","28,000","28,000","5,600","18,000","4,400",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Narathiwat,Less than $100,Device
"Changwat Narathiwat, $100 - $149",17.53,66.68,15.79,--,"88,000","88,000","88,000","88,000","17,000","59,000","14,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Narathiwat,$100 - $149,Device
"Changwat Narathiwat, $150 - $199",19.84,65.57,14.59,--,"64,000","64,000","64,000","64,000","13,000","43,000","9,900",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Narathiwat,$150 - $199,Device
"Changwat Narathiwat, $200 - $249",20.33,62.48,17.19,--,"39,000","39,000","39,000","39,000","7,800","25,000","6,700",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Narathiwat,$200 - $249,Device
"Changwat Narathiwat, $250 - $299",20.47,63.38,16.16,--,"33,000","33,000","33,000","33,000","7,200","22,000","5,400",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Narathiwat,$250 - $299,Device
"Changwat Narathiwat, $300 - $399",20.18,63.76,16.07,--,"39,000","39,000","39,000","39,000","7,800","25,000","6,300",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Narathiwat,$300 - $399,Device
"Changwat Narathiwat, $400 - $599",21.71,61.74,16.55,--,"47,000","47,000","47,000","47,000","11,000","30,000","8,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Narathiwat,$400 - $599,Device
"Changwat Narathiwat, $600 - $999",21.66,61.74,16.6,--,"64,000","64,000","64,000","64,000","14,000","42,000","11,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Narathiwat,$600 - $999,Device
"Changwat Kalasin, Price unknown",41.27,51.25,7.47,--,"20,000","20,000","20,000","20,000","8,500","11,000","1,500",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Kalasin,Price unknown,Device
"Changwat Kalasin, $1,000 or more",42.08,49.03,8.9,--,"73,000","73,000","73,000","73,000","31,000","36,000","6,600",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Kalasin,"$1,000 or more",Device
"Changwat Kalasin, Less than $100",32.8,60.91,6.29,--,"36,000","36,000","36,000","36,000","12,000","23,000","2,400",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Kalasin,Less than $100,Device
"Changwat Kalasin, $100 - $149",32.81,60.13,7.05,--,"105,000","105,000","105,000","105,000","35,000","64,000","7,500",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Kalasin,$100 - $149,Device
"Changwat Kalasin, $150 - $199",34.12,58.51,7.37,--,"80,000","80,000","80,000","80,000","28,000","48,000","5,900",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Kalasin,$150 - $199,Device
"Changwat Kalasin, $200 - $249",35.83,55.57,8.6,--,"52,000","52,000","52,000","52,000","20,000","30,000","4,800",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Kalasin,$200 - $249,Device
"Changwat Kalasin, $250 - $299",33.63,57.85,8.52,--,"41,000","41,000","41,000","41,000","14,000","24,000","3,600",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Kalasin,$250 - $299,Device
"Changwat Kalasin, $300 - $399",35.43,56.23,8.34,--,"55,000","55,000","55,000","55,000","20,000","32,000","5,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Kalasin,$300 - $399,Device
"Changwat Kalasin, $400 - $599",38.42,52.76,8.82,--,"55,000","55,000","55,000","55,000","22,000","30,000","4,900",100,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Kalasin,$400 - $599,Device
"Changwat Kalasin, $600 - $999",42.19,48.93,8.88,--,"69,000","69,000","69,000","69,000","30,000","36,000","6,200",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Kalasin,$600 - $999,Device
"Changwat Sakon Nakhon, Price unknown",33.02,61.64,5.34,--,"27,000","27,000","27,000","27,000","9,400","18,000","1,600",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Sakon Nakhon,Price unknown,Device
"Changwat Sakon Nakhon, $1,000 or more",39.51,53.07,7.42,--,"92,000","92,000","92,000","92,000","37,000","50,000","7,200",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Sakon Nakhon,"$1,000 or more",Device
"Changwat Sakon Nakhon, Less than $100",23.53,72.85,3.62,--,"46,000","46,000","46,000","46,000","11,000","34,000","1,800",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Sakon Nakhon,Less than $100,Device
"Changwat Sakon Nakhon, $100 - $149",26.03,69.43,4.55,--,"133,000","133,000","133,000","133,000","35,000","95,000","6,200",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Sakon Nakhon,$100 - $149,Device
"Changwat Sakon Nakhon, $150 - $199",26.96,68.4,4.64,--,"97,000","97,000","97,000","97,000","27,000","68,000","4,600",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Sakon Nakhon,$150 - $199,Device
"Changwat Sakon Nakhon, $200 - $249",29.0,65.32,5.67,--,"67,000","67,000","67,000","67,000","20,000","44,000","3,800",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Sakon Nakhon,$200 - $249,Device
"Changwat Sakon Nakhon, $250 - $299",27.41,66.99,5.6,--,"54,000","54,000","54,000","54,000","15,000","36,000","3,100",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Sakon Nakhon,$250 - $299,Device
"Changwat Sakon Nakhon, $300 - $399",30.95,62.84,6.21,--,"67,000","67,000","67,000","67,000","21,000","43,000","4,200",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Sakon Nakhon,$300 - $399,Device
"Changwat Sakon Nakhon, $400 - $599",34.22,59.56,6.22,--,"69,000","69,000","69,000","69,000","25,000","42,000","4,500",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Sakon Nakhon,$400 - $599,Device
"Changwat Sakon Nakhon, $600 - $999",36.83,55.94,7.23,--,"85,000","85,000","85,000","85,000","34,000","51,000","6,500",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Sakon Nakhon,$600 - $999,Device
"Changwat Ubon Ratchathani, Price unknown",32.19,39.98,27.83,--,"47,000","47,000","47,000","47,000","16,000","20,000","14,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Ubon Ratchathani,Price unknown,Device
"Changwat Ubon Ratchathani, $1,000 or more",35.04,39.12,25.84,--,"189,000","189,000","189,000","189,000","68,000","75,000","52,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Ubon Ratchathani,"$1,000 or more",Device
"Changwat Ubon Ratchathani, Less than $100",27.56,47.42,25.01,--,"86,000","86,000","86,000","86,000","25,000","43,000","22,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Ubon Ratchathani,Less than $100,Device
"Changwat Ubon Ratchathani, $100 - $149",28.63,45.26,26.1,--,"251,000","251,000","251,000","251,000","74,000","117,000","67,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Ubon Ratchathani,$100 - $149,Device
"Changwat Ubon Ratchathani, $150 - $199",29.77,44.0,26.24,--,"177,000","177,000","177,000","177,000","54,000","79,000","47,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Ubon Ratchathani,$150 - $199,Device
"Changwat Ubon Ratchathani, $200 - $249",29.61,43.34,27.05,--,"120,000","120,000","120,000","120,000","37,000","54,000","33,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Ubon Ratchathani,$200 - $249,Device
"Changwat Ubon Ratchathani, $250 - $299",28.62,43.9,27.49,--,"96,000","96,000","96,000","96,000","29,000","43,000","27,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Ubon Ratchathani,$250 - $299,Device
"Changwat Ubon Ratchathani, $300 - $399",30.68,41.96,27.36,--,"124,000","124,000","124,000","124,000","39,000","54,000","35,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Ubon Ratchathani,$300 - $399,Device
"Changwat Ubon Ratchathani, $400 - $599",33.29,40.76,25.95,--,"134,000","134,000","134,000","134,000","45,000","57,000","35,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Ubon Ratchathani,$400 - $599,Device
"Changwat Ubon Ratchathani, $600 - $999",34.59,38.04,27.38,--,"176,000","176,000","176,000","176,000","64,000","71,000","51,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Ubon Ratchathani,$600 - $999,Device
"Changwat Mukdahan, Price unknown",45.16,47.81,7.03,--,"9,000","9,000","9,000","9,000","3,900","4,100",680,--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Mukdahan,Price unknown,Device
"Changwat Mukdahan, $1,000 or more",47.29,43.65,9.06,--,"36,000","36,000","36,000","36,000","17,000","16,000","3,300",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Mukdahan,"$1,000 or more",Device
"Changwat Mukdahan, Less than $100",35.57,57.84,6.59,--,"16,000","16,000","16,000","16,000","5,800","9,100","1,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Mukdahan,Less than $100,Device
"Changwat Mukdahan, $100 - $149",37.76,54.65,7.59,--,"49,000","49,000","49,000","49,000","19,000","27,000","3,900",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Mukdahan,$100 - $149,Device
"Changwat Mukdahan, $150 - $199",38.0,54.12,7.88,--,"38,000","38,000","38,000","38,000","15,000","21,000","3,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Mukdahan,$150 - $199,Device
"Changwat Mukdahan, $200 - $249",39.13,52.21,8.67,--,"26,000","26,000","26,000","26,000","11,000","14,000","2,300",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Mukdahan,$200 - $249,Device
"Changwat Mukdahan, $250 - $299",37.05,54.78,8.17,--,"21,000","21,000","21,000","21,000","7,800","11,000","1,700",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Mukdahan,$250 - $299,Device
"Changwat Mukdahan, $300 - $399",39.38,51.45,9.17,--,"25,000","25,000","25,000","25,000","10,000","14,000","2,500",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Mukdahan,$300 - $399,Device
"Changwat Mukdahan, $400 - $599",43.22,46.84,9.94,--,"27,000","27,000","27,000","27,000","12,000","13,000","2,800",110,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Mukdahan,$400 - $599,Device
"Changwat Mukdahan, $600 - $999",46.51,44.27,9.22,--,"33,000","33,000","33,000","33,000","17,000","15,000","3,100",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Mukdahan,$600 - $999,Device
"Changwat Chachoengsao, Price unknown",36.04,40.66,23.3,--,"24,000","24,000","24,000","24,000","9,100","9,900","6,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Chachoengsao,Price unknown,Device
"Changwat Chachoengsao, $1,000 or more",32.73,46.93,20.34,--,"168,000","168,000","168,000","168,000","56,000","81,000","35,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Chachoengsao,"$1,000 or more",Device
"Changwat Chachoengsao, Less than $100",25.39,48.26,26.36,--,"28,000","28,000","28,000","28,000","7,100","14,000","7,200",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Chachoengsao,Less than $100,Device
"Changwat Chachoengsao, $100 - $149",27.01,47.5,25.49,--,"95,000","95,000","95,000","95,000","27,000","45,000","25,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Chachoengsao,$100 - $149,Device
"Changwat Chachoengsao, $150 - $199",26.59,47.1,26.31,--,"85,000","85,000","85,000","85,000","23,000","41,000","23,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Chachoengsao,$150 - $199,Device
"Changwat Chachoengsao, $200 - $249",27.32,45.58,27.11,--,"62,000","62,000","62,000","62,000","18,000","29,000","17,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Chachoengsao,$200 - $249,Device
"Changwat Chachoengsao, $250 - $299",27.45,47.42,25.13,--,"57,000","57,000","57,000","57,000","16,000","28,000","14,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Chachoengsao,$250 - $299,Device
"Changwat Chachoengsao, $300 - $399",29.8,46.32,23.87,--,"82,000","82,000","82,000","82,000","25,000","39,000","20,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Chachoengsao,$300 - $399,Device
"Changwat Chachoengsao, $400 - $599",30.95,46.21,22.84,--,"86,000","86,000","86,000","86,000","27,000","41,000","20,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Chachoengsao,$400 - $599,Device
"Changwat Chachoengsao, $600 - $999",32.56,45.45,21.99,--,"112,000","112,000","112,000","112,000","37,000","52,000","26,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Chachoengsao,$600 - $999,Device
