Provinces & Category,TMH-MB MKS,AIS-MB MKS,DTAC-MB MKS,TOT-MB MKS,TMH-MB Market Size,AIS-MB Market Size,DTAC-MB Market Size,TOT-MB Market Size,TMH-MB Total Customer,AIS-MB Total Customer,DTAC-MB Total Customer,TOT-MB Total Customer,Source,Provinces,Category,Metric
"Changwat Ratchaburi, 18-24",23.35,54.2,22.45,--,"109,000","109,000","109,000","109,000","28,000","62,000","25,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Ratchaburi,18-24,Age
"Changwat Ratchaburi, 25-34",23.13,56.87,20.0,--,"233,000","233,000","233,000","233,000","56,000","139,000","49,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Ratchaburi,25-34,Age
"Changwat Ratchaburi, 35-44",22.92,58.93,18.14,--,"142,000","142,000","142,000","142,000","33,000","85,000","27,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Ratchaburi,35-44,Age
"Changwat Ratchaburi, 45-54",21.33,61.67,16.99,--,"95,000","95,000","95,000","95,000","20,000","60,000","16,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Ratchaburi,45-54,Age
"Changwat Ratchaburi, 55-64",18.1,64.95,16.96,--,"61,000","61,000","61,000","61,000","12,000","41,000","11,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Ratchaburi,55-64,Age
"Changwat Ratchaburi, 65+",20.18,62.31,17.52,--,"38,000","38,000","38,000","38,000","7,700","24,000","6,700",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Ratchaburi,65+,Age
"Changwat Chanthaburi, 13-17",23.46,67.47,9.07,--,"26,000","26,000","26,000","26,000","6,600","18,000","2,400",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Chanthaburi,13-17,Age
"Changwat Chanthaburi, 18-24",24.64,63.9,11.45,--,"92,000","92,000","92,000","92,000","25,000","63,000","11,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Chanthaburi,18-24,Age
"Changwat Chanthaburi, 25-34",24.96,64.86,10.18,--,"195,000","195,000","195,000","195,000","51,000","131,000","20,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Chanthaburi,25-34,Age
"Changwat Chanthaburi, 35-44",24.53,64.94,10.53,--,"118,000","118,000","118,000","118,000","30,000","80,000","13,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Chanthaburi,35-44,Age
