System,Metric,Category,Area_type,TMH & DTAC-MB MKS,AIS-MB MKS,Total Market Size,PROVINCE_ENG,DISTRICT_EN
All OS,Age,13-17,District,67.64,32.35,490,Ratchaburi,Damnoen Saduak
All OS,Age,13-17,District,51.85,48.15,490,Ubon Ratchathani,Na Yia
Android,Age,13-17,District,32.26,67.74,490,Phrae,Nong Muang Khai
Android,Age,13-17,District,0,0,490,Samut Prakan,Bang Sao Thong
Android,Age,13-17,District,0,55.88,490,Uthai Thani,Nong Khayang
Android,Age,13-17,District,33.33,35.9,490,Ratchaburi,Damnoen Saduak
Android,Age,13-17,District,0,50,490,Ubon Ratchathani,Na Yia
iOS,Age,13-17,District,100,0,490,Phrae,Nong Muang Khai
iOS,Age,13-17,District,0,0,490,Samut Prakan,Bang Sao Thong
iOS,Age,13-17,District,0,0,490,Uthai Thani,Nong Khayang
iOS,Age,13-17,District,0,0,490,Ratchaburi,Damnoen Saduak
iOS,Age,13-17,District,100,0,490,Ubon Ratchathani,Na Yia
All OS,Age,13-17,District,55.39,44.62,500,Chiang Rai,Mae Lao
All OS,Age,13-17,District,77.04,22.95,500,Ubon Ratchathani,Don Mot Daeng
All OS,Age,13-17,District,45.12,54.88,500,Nakhon Ratchasima,Wang Nam Khiao
Android,Age,13-17,District,0,100,500,Chiang Rai,Mae Lao
Android,Age,13-17,District,0,65.85,500,Ubon Ratchathani,Don Mot Daeng
Android,Age,13-17,District,0,40,500,Nakhon Ratchasima,Wang Nam Khiao
iOS,Age,13-17,District,0,100,500,Chiang Rai,Mae Lao
iOS,Age,13-17,District,0,0,500,Ubon Ratchathani,Don Mot Daeng
iOS,Age,13-17,District,0,0,500,Nakhon Ratchasima,Wang Nam Khiao
All OS,Age,13-17,District,20.75,79.25,510,Nakhon Phanom,Na Thom
Android,Age,13-17,District,0,100,510,Nakhon Phanom,Na Thom
iOS,Age,13-17,District,0,0,510,Nakhon Phanom,Na Thom
All OS,Age,13-17,District,58.62,41.38,520,Satun,Mag
All OS,Age,13-17,District,41.38,58.62,520,,Song Khwae
All OS,Age,13-17,District,41.54,58.46,520,Lop Buri,Sa Bot
All OS,Age,13-17,District,49.02,50.98,520,Sing Buri,Tha Chang
Android,Age,13-17,District,48,52,520,Satun,Mag
Android,Age,13-17,District,0,58.7,520,,Song Khwae
Android,Age,13-17,District,0,100,520,Lop Buri,Sa Bot
Android,Age,13-17,District,0,53.57,520,Sing Buri,Tha Chang
iOS,Age,13-17,District,0,0,520,Satun,Mag
