AREA_TYPE,AREA_CD,AREA_NAME,ACTUAL_SUBS,TARGET_SUBS,%ACH_SUBS,ACTUAL_GA,TARGET_GA,%ACH_GA,ACTUAL_GA_INSTALL,TARGET_GA_INSTALL,%ACH_GA_INSTALL
CCAA,1402,PHRA NAKHON SI AYUTTHAYA_THA RUEA,,,,,,,16.0,,
CCAA,1403,PHRA NAKHON SI AYUTTHAYA_NAKHON LUANG,,,,,,,30.0,,
CCAA,1404,PHRA NAKHON SI AYUTTHAYA_BANG SAI,,,,,,,54.0,,
CCAA,1405,PHRA NAKHON SI AYUTTHAYA_BANG BAN,,,,,,,38.0,,
CCAA,1406,PHRA NAKHON SI AYUTTHAYA_BANG PA-IN,,,,81.0,,,164.0,,
CCAA,1407,PHRA NAKHON SI AYUTTHAYA_BANG PAHAN,,,,1.0,,,22.0,,
CCAA,1408,PHRA NAKHON SI AYUTTHAYA_PHAK HAI,,,,,,,16.0,,
CCAA,1409,PHRA NAKHON SI AYUTTHAYA_PHACHI,,,,,,,17.0,,
CCAA,1410,PHRA NAKHON SI AYUTTHAYA_LAT BUA LUANG,,,,,,,6.0,,
CCAA,1411,PHRA NAKHON SI AYUTTHAYA_WANG NOI,,,,,,,61.0,,
CCAA,1412,PHRA NAKHON SI AYUTTHAYA_SENA,,,,3.0,,,52.0,,
CCAA,1413,PHRA NAKHON SI AYUTTHAYA_BANG SAI,,,,,,,10.0,,
CCAA,1414,PHRA NAKHON SI AYUTTHAYA_UTHAI,,,,2.0,,,48.0,,
CCAA,1415,PHRA NAKHON SI AYUTTHAYA_MAHA RAT,,,,,,,12.0,,
CCAA,1416,PHRA NAKHON SI AYUTTHAYA_BAN PHRAEK,,,,,,,2.0,,
CCAA,1501,ANG THONG_MUEANG ANG THONG,,,,123.0,,,23.0,,
CCAA,1502,ANG THONG_CHAIYO,,,,,,,7.0,,
CCAA,1503,ANG THONG_PA MOK,,,,,,,11.0,,
CCAA,1504,ANG THONG_PHO THONG,,,,,,,13.0,,
CCAA,1505,ANG THONG_SAWAENG HA,,,,3.0,,,9.0,,
CCAA,1506,ANG THONG_WISET CHAI CHAN,,,,,,,19.0,,
CCAA,1507,ANG THONG_SAMKO,,,,1.0,,,1.0,,
CCAA,1601,LOP BURI_MUEANG LOP BURI,,,,244.0,,,152.0,,
CCAA,1602,LOP BURI_PHATTHANA NIKHOM,,,,,,,14.0,,
CCAA,1603,LOP BURI_KHOK SAMRONG,,,,4.0,,,35.0,,
CCAA,1604,LOP BURI_CHAI BADAN,,,,20.0,,,23.0,,
CCAA,1605,LOP BURI_THA WUNG,,,,,,,7.0,,
CCAA,1606,LOP BURI_BAN MI,,,,,,,10.0,,
CCAA,1607,LOP BURI_THA LUANG,,,,,,,1.0,,
CCAA,1608,LOP BURI_SA BOT,,,,,,,4.0,,
CCAA,1609,LOP BURI_KHOK CHAROEN,,,,,,,4.0,,
CCAA,1610,LOP BURI_LAM SONTHI,,,,,,,1.0,,
CCAA,1611,LOP BURI_NONG MUANG,,,,,,,6.0,,
CCAA,1701,SING BURI_MUEANG SING BURI,,,,38.0,,,16.0,,
CCAA,1702,SING BURI_BANG RACHAN,,,,,,,8.0,,
CCAA,1703,SING BURI_KHAI BANG RACHAN,,,,,,,7.0,,
CCAA,1704,SING BURI_PHROM BURI,,,,,,,6.0,,
CCAA,1705,SING BURI_THA CHANG,,,,,,,4.0,,
CCAA,1706,SING BURI_IN BURI,,,,,,,16.0,,
CCAA,1801,CHAI NAT_MUEANG CHAI NAT,,,,60.0,,,40.0,,
CCAA,1802,CHAI NAT_MANOROM,,,,,,,12.0,,
CCAA,1803,CHAI NAT_WAT SING,,,,,,,10.0,,
CCAA,1804,CHAI NAT_SAPPHAYA,,,,41.0,,,15.0,,
CCAA,1805,CHAI NAT_SANKHABURI,,,,,,,23.0,,
CCAA,1806,CHAI NAT_HANKHA,,,,,,,14.0,,
CCAA,1807,CHAI NAT_NONG MAMONG,,,,,,,2.0,,
CCAA,1808,CHAI NAT_NOEN KHAM,,,,,,,4.0,,
CCAA,1901,SARABURI_MUEANG SARABURI,,,,260.0,,,84.0,,
CCAA,1902,SARABURI_KAENG KHOI,,,,2.0,,,58.0,,
CCAA,1903,SARABURI_NONG KHAE,,,,5.0,,,46.0,,
CCAA,1904,SARABURI_WIHAN DAENG,,,,,,,11.0,,
CCAA,1905,SARABURI_NONG SAENG,,,,,,,1.0,,
CCAA,1906,SARABURI_BAN MO,,,,,,,23.0,,
CCAA,1907,SARABURI_DON PHUT,,,,,,,2.0,,
CCAA,1908,SARABURI_NONG DON,,,,,,,6.0,,
CCAA,1909,SARABURI_PHRA PHUTTHABAT,,,,,,,33.0,,
CCAA,1910,SARABURI_SAO HAI,,,,,,,11.0,,
CCAA,1911,SARABURI_MUAK LEK,,,,,,,12.0,,
CCAA,1912,SARABURI_WANG MUANG,,,,,,,6.0,,
CCAA,1913,SARABURI_CHALOEM PHRA KIAT,,,,,,,16.0,,
CCAA,2001,CHON BURI_MUEANG CHON BURI,,,,433.0,,,341.0,,
CCAA,2002,CHON BURI_BAN BUENG,,,,7.0,,,61.0,,
CCAA,2003,CHON BURI_NONG YAI,,,,,,,8.0,,
CCAA,2004,CHON BURI_BANG LAMUNG,,,,720.0,,,963.0,,
CCAA,2005,CHON BURI_PHAN THONG,,,,107.0,,,98.0,,
CCAA,2006,CHON BURI_PHANAT NIKHOM,,,,14.0,,,63.0,,
CCAA,2007,CHON BURI_SI RACHA,,,,645.0,,,388.0,,
CCAA,2008,CHON BURI_KO SI CHANG,,,,,,,,,
CCAA,2009,CHON BURI_SATTAHIP,,,,16.0,,,158.0,,
CCAA,2010,CHON BURI_BO THONG,,,,,,,6.0,,
CCAA,2011,CHON BURI_KO CHAN,,,,,,,15.0,,
CCAA,2101,RAYONG_MUEANG RAYONG,,,,496.0,,,380.0,,
CCAA,2102,RAYONG_BAN CHANG,,,,93.0,,,69.0,,
CCAA,2103,RAYONG_KLAENG,,,,18.0,,,46.0,,
CCAA,2104,RAYONG_WANG CHAN,,,,,,,3.0,,
CCAA,2105,RAYONG_BAN KHAI,,,,,,,59.0,,
CCAA,2106,RAYONG_PLUAK DAENG,,,,11.0,,,274.0,,
CCAA,2107,RAYONG_KHAO CHAMAO,,,,,,,2.0,,
CCAA,2108,RAYONG_NIKHOM PHATTHANA,,,,53.0,,,116.0,,
CCAA,2201,CHANTHABURI_MUEANG CHANTHABURI,,,,231.0,,,80.0,,
CCAA,2202,CHANTHABURI_KHLUNG,,,,,,,11.0,,
CCAA,2203,CHANTHABURI_THA MAI,,,,,,,24.0,,
CCAA,2204,CHANTHABURI_PONG NAM RON,,,,3.0,,,8.0,,
CCAA,2205,CHANTHABURI_MAKHAM,,,,,,,6.0,,
CCAA,2206,CHANTHABURI_LAEM SING,,,,,,,16.0,,
CCAA,2207,CHANTHABURI_SOI DAO,,,,,,,11.0,,
CCAA,2208,CHANTHABURI_KAENG HANG MAEO,,,,,,,1.0,,
CCAA,2209,CHANTHABURI_NA YAI AM,,,,,,,7.0,,
CCAA,2210,CHANTHABURI_KHAO KHITCHAKUT,,,,,,,3.0,,
CCAA,2301,TRAT_MUEANG TRAT,,,,88.0,,,75.0,,
CCAA,2302,TRAT_KHLONG YAI,,,,,,,10.0,,
CCAA,2303,TRAT_KHAO SAMING,,,,,,,12.0,,
CCAA,2304,TRAT_BO RAI,,,,,,,25.0,,
CCAA,2305,TRAT_LAEM NGOP,,,,,,,6.0,,
CCAA,2306,TRAT_KO KUT,,,,,,,,,
CCAA,2307,TRAT_KO CHANG,,,,,,,10.0,,
CCAA,2401,CHACHOENGSAO_MUEANG CHACHOENGSAO,,,,203.0,,,124.0,,
CCAA,2402,CHACHOENGSAO_BANG KHLA,,,,110.0,,,19.0,,
CCAA,2403,CHACHOENGSAO_BANG NAM PRIAO,,,,,,,18.0,,
CCAA,2404,CHACHOENGSAO_BANG PAKONG,,,,84.0,,,72.0,,
CCAA,2405,CHACHOENGSAO_BAN PHO,,,,,,,28.0,,
CCAA,2406,CHACHOENGSAO_PHANOM SARAKHAM,,,,27.0,,,43.0,,
CCAA,2407,CHACHOENGSAO_RATCHASAN,,,,,,,1.0,,
CCAA,2408,CHACHOENGSAO_SANAM CHAI KHET,,,,,,,47.0,,
CCAA,2409,CHACHOENGSAO_PLAENG YAO,,,,,,,61.0,,
CCAA,2410,CHACHOENGSAO_THA TAKIAP,,,,,,,24.0,,
CCAA,2411,CHACHOENGSAO_KHLONG KHUEAN,,,,,,,1.0,,
CCAA,2501,PRACHIN BURI_MUEANG PRACHIN BURI,,,,163.0,,,39.0,,
CCAA,2502,PRACHIN BURI_KABIN BURI,,,,,,,33.0,,
CCAA,2503,PRACHIN BURI_NA DI,,,,,,,11.0,,
CCAA,2506,PRACHIN BURI_BAN SANG,,,,,,,3.0,,
CCAA,2507,PRACHIN BURI_PRACHANTAKHAM,,,,,,,9.0,,
CCAA,2508,PRACHIN BURI_SI MAHA PHOT,,,,28.0,,,106.0,,
CCAA,2509,PRACHIN BURI_SI MAHOSOT,,,,,,,14.0,,
CCAA,2601,NAKHON NAYOK_MUEANG NAKHON NAYOK,,,,15.0,,,27.0,,
CCAA,2602,NAKHON NAYOK_PAK PHLI,,,,,,,2.0,,
CCAA,2603,NAKHON NAYOK_BAN NA,,,,,,,7.0,,
CCAA,2604,NAKHON NAYOK_ONGKHARAK,,,,,,,7.0,,
CCAA,2701,SA KAEO_MUEANG SA KAEO,,,,58.0,,,35.0,,
CCAA,2702,SA KAEO_KHLONG HAT,,,,,,,22.0,,
CCAA,2703,SA KAEO_TA PHRAYA,,,,,,,14.0,,
CCAA,2704,SA KAEO_WANG NAM YEN,,,,,,,14.0,,
CCAA,2705,SA KAEO_WATTHANA NAKHON,,,,,,,23.0,,
CCAA,2706,SA KAEO_ARANYAPRATHET,,,,59.0,,,46.0,,
CCAA,2707,SA KAEO_KHAO CHAKAN,,,,,,,20.0,,
CCAA,2708,SA KAEO_KHOK SUNG,,,,,,,19.0,,
CCAA,2709,SA KAEO_WANG SOMBUN,,,,,,,16.0,,
CCAA,3001,NAKHON RATCHASIMA_MUEANG NAKHON RATCHASIMA,,,,947.0,,,537.0,,
CCAA,3002,NAKHON RATCHASIMA_KHON BURI,,,,12.0,,,20.0,,
CCAA,3003,NAKHON RATCHASIMA_SOENG SANG,,,,10.0,,,31.0,,
CCAA,3004,NAKHON RATCHASIMA_KHONG,,,,,,,30.0,,
CCAA,3005,NAKHON RATCHASIMA_BAN LUEAM,,,,,,,5.0,,
CCAA,3006,NAKHON RATCHASIMA_CHAKKARAT,,,,,,,19.0,,
CCAA,3007,NAKHON RATCHASIMA_CHOK CHAI,,,,8.0,,,37.0,,
CCAA,3008,NAKHON RATCHASIMA_DAN KHUN THOT,,,,11.0,,,36.0,,
CCAA,3009,NAKHON RATCHASIMA_NON THAI,,,,17.0,,,29.0,,
CCAA,3010,NAKHON RATCHASIMA_NON SUNG,,,,4.0,,,42.0,,
CCAA,3011,NAKHON RATCHASIMA_KHAM SAKAESAENG,,,,,,,19.0,,
CCAA,3012,NAKHON RATCHASIMA_BUA YAI,,,,39.0,,,22.0,,
CCAA,3013,NAKHON RATCHASIMA_PRATHAI,,,,,,,27.0,,
CCAA,3014,NAKHON RATCHASIMA_PAK THONG CHAI,,,,17.0,,,41.0,,
CCAA,3015,NAKHON RATCHASIMA_PHIMAI,,,,25.0,,,39.0,,
CCAA,3016,NAKHON RATCHASIMA_HUAI THALAENG,,,,6.0,,,9.0,,
CCAA,3017,NAKHON RATCHASIMA_CHUM PHUANG,,,,16.0,,,31.0,,
CCAA,3018,NAKHON RATCHASIMA_SUNG NOEN,,,,,,,47.0,,
CCAA,3019,NAKHON RATCHASIMA_KHAM THALE SO,,,,,,,19.0,,
CCAA,3020,NAKHON RATCHASIMA_SIKHIO,,,,4.0,,,37.0,,
CCAA,3021,NAKHON RATCHASIMA_PAK CHONG,,,,77.0,,,170.0,,
CCAA,3022,NAKHON RATCHASIMA_NONG BUN MAK,,,,18.0,,,19.0,,
CCAA,3023,NAKHON RATCHASIMA_KAENG SANAM NANG,,,,,,,12.0,,
CCAA,3024,NAKHON RATCHASIMA_NON DAENG,,,,,,,5.0,,
CCAA,3025,NAKHON RATCHASIMA_WANG NAM KHIAO,,,,,,,7.0,,
CCAA,3026,NAKHON RATCHASIMA_THEPHARAK,,,,,,,3.0,,
CCAA,3027,NAKHON RATCHASIMA_MUEANG YANG,,,,,,,10.0,,
CCAA,3028,NAKHON RATCHASIMA_PHRA THONG KHAM,,,,,,,9.0,,
CCAA,3029,NAKHON RATCHASIMA_LAM THAMENCHAI,,,,,,,11.0,,
CCAA,3030,NAKHON RATCHASIMA_BUA LAI,,,,,,,6.0,,
CCAA,3031,NAKHON RATCHASIMA_SIDA,,,,,,,6.0,,
CCAA,3032,NAKHON RATCHASIMA_CHALOEM PHRA KIAT,,,,,,,22.0,,
CCAA,3101,BURI RAM_MUEANG BURI RAM,,,,363.0,,,128.0,,
